stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
290556,"20643","C Columbus Drive at Grove St","",40.719519,-74.043201,"",0,,
290563,"21134","Washington Blvd at Path Station","",40.726419,-74.035262,"",0,,
293732,"26239","Varick St at N Moore St#","",40.719579,-74.006943,"",0,14192710,
293739,"26233","Broadway at Exchange Pl#","",40.70671778,-74.0127039,"",0,,
294223,"24403","Main St at Brinley Ave","",40.203288,-74.017821,"",0,38262017,
294226,"24322","Asbury Park Transportation Ctr","",40.215838,-74.014011,"",0,38261972,
296912,"20647","C Columbus Drive at Grove St","",40.719519,-74.042561,"",0,,
299304,"25316","Rt-36 at Rose Ln","",40.438299,-74.156042,"",0,,
299322,"25028","NJ 36 at Main St","",40.420429,-74.092022,"",0,,
299325,"25043","Rt-36 at Wilson Ave","",40.425559,-74.102443,"",0,,
299331,"24636","Rt-36 153' E Of Brown Ave","",40.438238,-74.146181,"",0,,
299332,"25317","Rt-36 at Rose Ln","",40.438529,-74.155521,"",0,,
299333,"25318","Rt-36 at Harris Ave","",40.43834,-74.160012,"",0,,
299647,"24331","Kingsley St at Sunset Ave","",40.224897,-74.00043,"",0,38261979,
300404,"24652","Rt-36 at Miller St","",40.399568,-73.987612,"",0,,
300405,"24654","Rt-36 at Navesink Ave","",40.405298,-74.004602,"",0,,
300407,"24360","Rt-36 at Grand Ave","",40.40592,-74.033851,"",0,,
300408,"24361","Rt-36 at 1st Ave","",40.409449,-74.039683,"",0,,
300417,"24363","Rt-36 at Grand Ave","",40.405569,-74.033712,"",0,,
300418,"25036","Rt-36 at Navesink Ave","",40.405199,-74.005381,"",0,,
300419,"24655","Rt-36 at Miller St","",40.399779,-73.988624,"",0,,
301932,"24642","Rt-36 at S. Laurel Ave","",40.437129,-74.141192,"",0,,
301940,"24635","Rt-36 at Laurel Ave","",40.437227,-74.140702,"",0,,
302357,"24653","Rt-36 at Waterwitch Ave","",40.402629,-73.995591,"",0,,
302674,"30568","Main St At Garfield Ave","",40.191518,-74.021913,"",0,,
302822,"30443","Rt-71 At Batchelor Pl","",40.190359,-74.02248,"",0,,
304314,"25072","Rt-36 at Lakeside Dr#","",40.404418,-74.02107,"",0,,
14015362,"","Broadway/Vesey St","BROADWAY & VESEY ST",40.71167471,-74.0086323,"",0,45131224,1
14019646,"","Broadway/Warren St","",40.713788,-74.006743,"",0,14147722,
14147722,"","Broadway/Warren St","",40.71379318,-74.00673866,"",1,,1
14192710,"26239","Varick St At N Moore St#","",40.71957494,-74.00698006,"",1,,1
37265765,"31921","Port Authority Bus Terminal","",40.757428,-73.993003,"",0,60889831,
38188733,"","Trinity Pl. Between Rector & Thames St.","Trinity Pl. between Rector & Thames St., Wall Street, NY",40.70739,-74.0132,"",0,,
38188757,"","Red Bank Rail Road Station","Red Bank Rail Road Station, Red Bank, NJ",40.3481329,-74.07408363,"",0,45130530,
38188777,"Wall Street Bus Shelter","Lincroft Park & Ride, Gsp Exit 109","Lincroft Park & Ride, GSP Exit 109, Lincroft, NJ",40.33769213,-74.09742426,"",0,46042466,
38188786,"","Sea Girt - Washington Blvd @ 4th Ave (Southbound)","Sea Girt, Sea Girt, NJ",40.12939882,-74.03744828,"",0,,
38188789,"","Avon","Avon, Avon, NJ",40.1925621,-74.0216,"",0,,
38188791,"","Ocean Grove (Northbound)","Ocean Grove, Ocean Grove, NJ",40.21222,-74.0074,"",0,,
38188793,"","Cookman & Grand","Cookman & Grand, Asbury Park, NJ",40.21686,-74.00823,"",0,,
38188795,"","Deal - Ocean Ave @ Deal Casino (Northbound)","Ocean Avenue, Deal, NJ",40.25172644,-73.99357064,"",0,,
38188796,"","West End - Ocean Ave @ Cedar Ave (Northbound)","West End, Long Branch, NJ",40.28151792,-73.98460756,"",0,,
38188797,"","Oceanport (Northbound)","Oceanport (South), Ocean Port, NJ",40.3010521,-74.02409,"",0,,
38188799,"","Fort Monmouth","Fort Monmouth, Eatontown, NJ",40.30745631,-74.06283927,"",0,38262021,
38188800,"","Shrewsbury (Southbound)","Shrewsbury, Shrewsbury, NJ",40.31477527,-74.06342213,"",0,38280913,
38188801,"","Redbank","Redbank, Red Bank, NJ",40.34822808,-74.07409552,"",0,45130530,
38188803,"Port Authority Bus Shelter","PNC Bank Arts Center","PNC Art Center, Holmdel-PNC Art Cen., NJ",40.3857717,-74.18279794,"",0,46042479,
38188815,"","Westampton - Exit 5 Park and Ride","Exit 5 Park N Ride, Westampton, NJ",40.03276706,-74.81910633,"",0,,
38188872,"","Kings Highway East","Kings Highway East, Middletown Township, NJ",40.390728,-74.0987,"",0,,
38188878,"","Hazlet - Rt 36 @ Poole Ave (Northbound)","Poole Avenue, Hazlet, NJ",40.43335865,-74.18132268,"",0,,
38188919,"","Lakewood Bus Terminal","Lakewood Bus Terminal, Lakewood, NJ",40.09104104,-74.21247344,"",0,,
38188920,"","Lakewood - Rt 9 @ 2nd St (Northbound)","2nd Street & Route 9, Lakewood, NJ",40.09180444,-74.2165737,"",0,,
38188924,"","Lakewood - Rt 9 @ Pine St (Northbound)","Pine Street & Route 9, Lakewood, NJ",40.07917572,-74.21643732,"",0,,
38188930,"","Georgia Tavern Rd.. & Route 9","Georgia Tavern Rd.. & Route 9, Howell Township, NJ",40.1669464,-74.23694,"",0,,
38188933,"291142","Lakewood - Us-9 @ Sherwood Dr (Northbound)","Kimball Hospital & Route 9, Lakewood, NJ",40.07342998,-74.21737398,"",0,,
38188936,"","Howell - Rt 9 @ Wyckoff Mills Rd (Northbound)","Wyckoff Mills Rd. & Route 9, Howell Township, NJ",40.20688284,-74.25685076,"",0,,
38188973,"","Brick Park & Ride","Brick Park & Ride, Brick Township, NJ",40.09893468,-74.14116232,"",0,46307486,
38188983,"Port Authority Bus Shelter","Lincroft Park & Ride, Gsp Exit 109","Exit 109, Garden State Parkway, Lincroft, NJ",40.33764715,-74.09709435,"",0,46042466,
38188984,"","Lakehurst - Union Ave @ Lilac St (Northbound)","Union Ave. & Lilac St., Lakehurst, NJ",40.01152276,-74.32344032,"",0,,
38188990,"","Jackson - County Line Rd @ Roller Rink (Northbound)","County Line Road @ Jackson Roller Rink, Jackson, NJ",40.12779,-74.2722855,"",0,,
38188991,"","Jackson - County Line Rd @ Harmony Rd (Northbound)","County Line Road @ Harmony Road, Jackson, NJ",40.13978951,-74.29979388,"",0,,
38188992,"","Jackson - County Line Rd @ Huntington Dr (Northbound)","County Line Road @ Huntington Dr., Jackson, NJ",40.14245457,-74.30794933,"",0,,
