route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,line_id
6410248,348840765,1213357797,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,348840765,1213357798,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,348840765,1213357799,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,348840765,1213357800,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,346407291,1213357801,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,348840765,2073666479,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,348840765,2073666480,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,348840765,2330376126,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,346407291,2459662989,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410248,346407291,2459662990,"Exit 5 to Port Authority - Wall Street","",1,,11235502,4561666
6410251,346350578,221419690,"Route 36 to Wall Street - Highlands Highway","",1,,7813264,4580350
6410251,346405855,412087281,"Route 36 to Wall Street - Highlands Middle Road","",1,,7934457,4814419
6410252,346405849,221172648,"Route 36 to Port Authority - Highlands Highway","",1,,7813260,4580349
6410252,346350122,221189037,"Route 36 to Port Authority - Keansburg, Middle Road","",1,,7835823,4580347
6410252,346350576,221194398,"Route 36 to Port Authority - Leonardo Highway","",1,,7548864,4580344
6410252,346350209,221194400,"Route 36 to Port Authority - Highlands, Keansburg, Highway","",1,,7813261,4580343
6410252,346350209,221194401,"Route 36 to Port Authority - Highlands, Keansburg, Highway","",1,,7813261,4580343
6410252,346405851,221194402,"Route 36 to Port Authority - Leonardo, Keansburg, Highway","",1,,14828280,4580345
6410252,346405852,661711149,"Route 36 to Port Authority - Long Branch Highway","",1,,7813262,4580341
6410252,346405850,1122022301,"Route 36 to Port Authority - Highlands, Keansburg, Middle Road","",1,,7835822,4580346
6410252,348840759,1528670666,"Route 36 to Port Authority - Long Branch, Keansburg, Middle Road","",1,,7835830,4580340
6410252,348840759,1530406508,"Route 36 - Keansburg to Long Branch","",0,,7813259,4612033
6410252,348840736,2073666475,"Route 36 to Port Authority - Middle Road","",1,,7548865,4580348
6410252,348840741,2330779985,"Route 36 to Port Authority - Highlands, Keansburg, Middle Road","",1,,7835822,4580346
6410252,348840741,2330779986,"Route 36 to Port Authority - Highlands, Keansburg, Middle Road","",1,,7835822,4580346
6410252,346349973,2461578866,"Route 36 to Port Authority - Highlands Highway","",1,,14730241,4580349
6410252,346349973,2461578867,"Route 36 to Port Authority - Highlands Highway","",1,,14730243,4580349
6410252,346349972,2461578868,"Route 36 to Port Authority - Highlands Highway","",1,,14730240,4580349
6410252,346349973,2463169732,"Route 36 to Port Authority - Middle Road","",1,,14734109,4580348
6410252,346349971,2463169733,"Route 36 to Port Authority - Middle Road","",1,,14758814,4580348
6410252,346349971,2463244380,"Route 36 to Port Authority - Long Branch Highway","",1,,14734108,4580341
6410256,348840753,219287340,"Jackson to Port Authority","",1,,7535425,4574746
6410256,346405654,1616946227,"Jackson to Port Authority","",1,,7535425,4574746
6410256,346405654,1616946228,"Jackson to Port Authority","",1,,7535425,4574746
6410256,346405654,1616946229,"Jackson to Port Authority","",1,,7535425,4574746
6410256,348840753,2330779987,"Jackson to Port Authority","",1,,7535425,4574746
6410257,346350226,1276252652,"Route 9 to Wall Street","",1,,8854778,4583308
6410257,346350226,1276252653,"Route 9 to Wall Street","",1,,8854778,4583308
6410257,348840750,1729511733,"Route 9 to Wall Street","",1,,11795874,4583308
6410257,346350226,1878679116,"Route 9 to Wall Street","",1,,8854778,4583308
6410257,348840752,1878688306,"Route 9 to Wall Street","",1,,8854778,4583308
6410257,348840751,2330779991,"Route 9 to Wall Street","",1,,9542117,4583308
6410257,346349973,2459663106,"Route 9 to Wall Street","",1,,14727801,4583308
6410257,346349973,2459663107,"Route 9 to Wall Street","",1,,14727801,4583308
6410257,346349972,2459663108,"Route 9 to Wall Street","",1,,14719767,4583308
6410258,348840746,1729465419,"PNC to PABT","",1,,11795872,6526526
6410258,348840746,2073666472,"PNC to PABT","",1,,11795872,6526526
6410258,348840746,2330579166,"PNC to PABT","",1,,11795872,6526526
6410258,348840746,2330579167,"PNC to PABT","",1,,11795872,6526526
6410258,348840746,2330579168,"PNC to PABT","",1,,11795872,6526526
6410258,348840746,2330579169,"PNC to PABT","",1,,11795872,6526526
6410258,348840746,2330579170,"PNC to PABT","",1,,11795872,6526526
6410258,346349972,2463579495,"PNC to PABT","",1,,14734114,6526526
6410260,346398979,990329439,"Parkway Express to Port Authority","",1,,7535418,4574742
6410260,346398979,990329440,"Parkway Express to Port Authority","",1,,7535418,4574742
6410260,346398979,990329442,"Parkway Express to Port Authority","",1,,7535418,4574742
6410260,348840739,1167100703,"Parkway Express to Port Authority-Starts 109","",1,,10020449,5881739
6410260,348840739,2073666471,"Parkway Express to Port Authority-Starts 109","",1,,10020449,5881739
6410260,346349972,2463422905,"Parkway Express to Port Authority","",1,,14734111,4574742
6410260,346349972,2463422906,"Parkway Express to Port Authority","",1,,14758815,4574742
6410260,348840736,2463422920,"Parkway Express to PABT-EXPRESS from 109","",1,,14828281,6834691
6443451,348840764,1213357793,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,348840764,1213357795,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,348840764,1213357796,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,346407290,1305283223,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,346407290,1305283224,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,348840764,1425450134,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,348840764,2073666477,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6443451,346349973,2073666478,"Port Authority to Willingboro, Westampton","",0,,7512741,4681772
6452372,346350212,216702162,"Point Pleasant to Port Authority Coastliner via PNC, Cheesequake","",1,,7813265,4681781
6452372,348840732,413119415,"Point Pleasant to Port Authority via Route 35, PNC, Cheesequake--No Cookman stop","",1,,14734115,4817379
6452372,346388250,648971923,"Ocean Grove to Port Authority via PNC","",1,,7835825,4571433
6471062,346350202,594774474,"Port Authority to Point Pleasant Coastliner via PNC, Cheesequake","",0,,7813267,4681782
6471062,348840733,648971983,"Port Authority to Ocean Grove via PNC","",0,,7835826,4571434
6471062,348840733,682964023,"Port Authority to Ocean Grove via PNC","",0,,7835826,4571434
6471062,348840734,1729511735,"Port Authority to Point Pleasant via PNC, Cheesequake","",0,,7835828,4681783
6474410,348840740,1425397918,"Port Authority to Parkway Express","",0,,10178556,4681784
6474410,348840740,1729465422,"Port Authority to Parkway Express","",0,,10178556,4681784
6474410,348840742,2182553017,"Port Authority to Parkway Express - Ends Monmouth","",0,,11795873,6526527
6474410,348840740,2330579161,"Port Authority to Parkway Express","",0,,10178556,4681784
6474410,348840740,2330579162,"Port Authority to Parkway Express","",0,,10178556,4681784
6474410,348840740,2330579163,"Port Authority to Parkway Express","",0,,10178556,4681784
