shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SouthboundShape1,40.69272,-74.10288,1,0
SouthboundShape1,40.69268,-74.10294,2,0.007
SouthboundShape1,40.69262,-74.10302,3,0.016
SouthboundShape1,40.69256,-74.1031,4,0.026
SouthboundShape1,40.69248,-74.10317,5,0.036
SouthboundShape1,40.69238,-74.10326,6,0.05
SouthboundShape1,40.69229,-74.10334,7,0.062
SouthboundShape1,40.69219,-74.10343,8,0.075
SouthboundShape1,40.69194,-74.10364,9,0.108
SouthboundShape1,40.69188,-74.10368,10,0.116
SouthboundShape1,40.6918,-74.10374,11,0.126
SouthboundShape1,40.6915,-74.10397,12,0.165
SouthboundShape1,40.69132,-74.10414,13,0.189
SouthboundShape1,40.69131,-74.10415,14,0.191
SouthboundShape1,40.69125,-74.1042,15,0.199
SouthboundShape1,40.69125,-74.10421,16,0.199
SouthboundShape1,40.69117,-74.10428,17,0.21
SouthboundShape1,40.69082,-74.10458,18,0.256
SouthboundShape1,40.69072,-74.10467,19,0.27
SouthboundShape1,40.69063,-74.10468,20,0.28
SouthboundShape1,40.69034,-74.10491,21,0.318
SouthboundShape1,40.69009,-74.10512,22,0.351
SouthboundShape1,40.68988,-74.1053,23,0.378
SouthboundShape1,40.6895,-74.10562,24,0.429
SouthboundShape1,40.68934,-74.10575,25,0.449
SouthboundShape1,40.68925,-74.10583,26,0.462
SouthboundShape1,40.68919,-74.10587,27,0.469
SouthboundShape1,40.68912,-74.10593,28,0.478
SouthboundShape1,40.68889,-74.10613,29,0.509
SouthboundShape1,40.68876,-74.10626,30,0.527
SouthboundShape1,40.6887,-74.10631,31,0.535
SouthboundShape1,40.6886,-74.1064,32,0.548
SouthboundShape1,40.6885,-74.10648,33,0.561
SouthboundShape1,40.68832,-74.10663,34,0.585
SouthboundShape1,40.68766,-74.10534,35,0.716
SouthboundShape1,40.68746,-74.10494,36,0.757
SouthboundShape1,40.68707,-74.10415,37,0.836
SouthboundShape1,40.68633,-74.10262,38,0.989
SouthboundShape1,40.68548,-74.10089,39,1.163
SouthboundShape1,40.6852,-74.1003,40,1.222
SouthboundShape1,40.68511,-74.10037,41,1.233
SouthboundShape1,40.68482,-74.10062,42,1.272
SouthboundShape1,40.68458,-74.10082,43,1.303
SouthboundShape1,40.68436,-74.101,44,1.332
SouthboundShape1,40.68433,-74.10103,45,1.336
SouthboundShape1,40.68398,-74.10133,46,1.383
SouthboundShape1,40.68338,-74.10182,47,1.461
SouthboundShape1,40.68278,-74.10233,48,1.541
SouthboundShape1,40.68218,-74.10282,49,1.619
SouthboundShape1,40.68196,-74.103,50,1.648
SouthboundShape1,40.68157,-74.10334,51,1.7
SouthboundShape1,40.68099,-74.10383,52,1.776
SouthboundShape1,40.68039,-74.10436,53,1.857
SouthboundShape1,40.67979,-74.10485,54,1.935
SouthboundShape1,40.67918,-74.10536,55,2.016
SouthboundShape1,40.67859,-74.10587,56,2.094
SouthboundShape1,40.67797,-74.10639,57,2.176
SouthboundShape1,40.67738,-74.10688,58,2.253
SouthboundShape1,40.67678,-74.10739,59,2.333
SouthboundShape1,40.67643,-74.10769,60,2.379
SouthboundShape1,40.67618,-74.1079,61,2.412
SouthboundShape1,40.67558,-74.10841,62,2.491
SouthboundShape1,40.67496,-74.10892,63,2.573
SouthboundShape1,40.67438,-74.10942,64,2.65
SouthboundShape1,40.67378,-74.10993,65,2.729
SouthboundShape1,40.67325,-74.11037,66,2.799
SouthboundShape1,40.67317,-74.11043,67,2.809
SouthboundShape1,40.67212,-74.11133,68,2.948
SouthboundShape1,40.67159,-74.11178,69,3.018
SouthboundShape1,40.67108,-74.11223,70,3.087
SouthboundShape1,40.67079,-74.11247,71,3.125
SouthboundShape1,40.67062,-74.11262,72,3.147
SouthboundShape1,40.67045,-74.11276,73,3.17
SouthboundShape1,40.67008,-74.11308,74,3.219
SouthboundShape1,40.66951,-74.11357,75,3.295
SouthboundShape1,40.66944,-74.11363,76,3.304
