trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
South_Weekday_T01,06:00:00,06:00:00,0,1,,,,,,0,1
South_Weekday_T01,,,1,2,,,,,,0.378,
South_Weekday_T01,,,2,3,,,,,,0.757,
South_Weekday_T01,,,3,4,,,,,,0.989,
South_Weekday_T01,,,4,5,,,,,,1.272,
South_Weekday_T01,,,5,6,,,,,,1.383,
South_Weekday_T01,,,6,7,,,,,,1.541,
South_Weekday_T01,,,7,8,,,,,,1.7,
South_Weekday_T01,,,8,9,,,,,,1.857,
South_Weekday_T01,,,9,10,,,,,,2.016,
South_Weekday_T01,,,10,11,,,,,,2.176,
South_Weekday_T01,,,11,12,,,,,,2.333,
South_Weekday_T01,,,12,13,,,,,,2.491,
South_Weekday_T01,,,13,14,,,,,,2.65,
South_Weekday_T01,,,14,15,,,,,,2.799,
South_Weekday_T01,,,15,16,,,,,,2.948,
South_Weekday_T01,,,16,17,,,,,,3.087,
South_Weekday_T01,,,17,18,,,,,,3.219,
South_Weekday_T01,,,18,19,,,,,,3.34,
South_Weekday_T01,,,19,20,,,,,,3.42,
South_Weekday_T01,,,20,21,,,,,,3.595,
South_Weekday_T01,,,21,22,,,,,,3.695,
South_Weekday_T01,,,22,23,,,,,,3.95,
South_Weekday_T01,,,23,24,,,,,,4.322,
South_Weekday_T01,,,24,25,,,,,,4.482,
South_Weekday_T01,,,25,26,,,,,,4.677,
South_Weekday_T01,,,26,27,,,,,,4.876,
South_Weekday_T01,,,27,28,,,,,,5.013,
South_Weekday_T01,,,28,29,,,,,,5.183,
South_Weekday_T01,,,29,30,,,,,,5.274,
South_Weekday_T01,,,30,31,,,,,,5.44,
South_Weekday_T01,,,31,32,,,,,,5.654,
South_Weekday_T01,,,32,33,,,,,,5.824,
South_Weekday_T01,,,33,34,,,,,,5.996,
South_Weekday_T01,,,34,35,,,,,,6.138,
South_Weekday_T01,,,35,36,,,,,,6.357,
South_Weekday_T01,06:30:00,06:30:00,36,37,,,,,,6.54,0
South_Weekday_T02,06:22:00,06:22:00,0,1,,,,,,,1
South_Weekday_T02,,,1,2,,,,,,,
South_Weekday_T02,,,2,3,,,,,,,
South_Weekday_T02,,,3,4,,,,,,,
South_Weekday_T02,,,4,5,,,,,,,
South_Weekday_T02,,,5,6,,,,,,,
South_Weekday_T02,,,6,7,,,,,,,
South_Weekday_T02,,,7,8,,,,,,,
South_Weekday_T02,,,8,9,,,,,,,
South_Weekday_T02,,,9,10,,,,,,,
South_Weekday_T02,,,10,11,,,,,,,
South_Weekday_T02,,,11,12,,,,,,,
South_Weekday_T02,,,12,13,,,,,,,
South_Weekday_T02,,,13,14,,,,,,,
South_Weekday_T02,,,14,15,,,,,,,
South_Weekday_T02,,,15,16,,,,,,,
South_Weekday_T02,,,16,17,,,,,,,
South_Weekday_T02,,,17,18,,,,,,,
South_Weekday_T02,,,18,19,,,,,,,
South_Weekday_T02,,,19,20,,,,,,,
South_Weekday_T02,,,20,21,,,,,,,
South_Weekday_T02,,,21,22,,,,,,,
South_Weekday_T02,,,22,23,,,,,,,
South_Weekday_T02,,,23,24,,,,,,,
South_Weekday_T02,,,24,25,,,,,,,
South_Weekday_T02,,,25,26,,,,,,,
South_Weekday_T02,,,26,27,,,,,,,
South_Weekday_T02,,,27,28,,,,,,,
South_Weekday_T02,,,28,29,,,,,,,
South_Weekday_T02,,,29,30,,,,,,,
South_Weekday_T02,,,30,31,,,,,,,
