trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
B1_BevPem_12345_1,06:40:00,06:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_1,06:50:00,06:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_1,06:55:00,06:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_1,07:04:00,07:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_1,07:17:00,07:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_1,07:32:00,07:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_1,07:46:00,07:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_1,07:50:00,07:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_1,08:10:00,08:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_1,08:27:00,08:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_1,08:40:00,08:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_2,07:40:00,07:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_2,07:50:00,07:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_2,07:55:00,07:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_2,08:04:00,08:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_2,08:17:00,08:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_2,08:32:00,08:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_2,08:46:00,08:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_2,08:50:00,08:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_2,09:10:00,09:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_2,09:27:00,09:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_2,09:40:00,09:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_3,08:40:00,08:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_3,08:50:00,08:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_3,08:55:00,08:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_3,09:04:00,09:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_3,09:17:00,09:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_3,09:32:00,09:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_3,09:46:00,09:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_3,09:50:00,09:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_3,10:10:00,10:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_3,10:27:00,10:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_3,10:40:00,10:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_4,09:40:00,09:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_4,09:50:00,09:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_4,09:55:00,09:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_4,10:04:00,10:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_4,10:17:00,10:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_4,10:32:00,10:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_4,10:46:00,10:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_4,10:50:00,10:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_4,11:10:00,11:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_4,11:27:00,11:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_4,11:40:00,11:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_5,10:40:00,10:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_5,10:50:00,10:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_5,10:55:00,10:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_5,11:04:00,11:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_5,11:17:00,11:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_5,11:32:00,11:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_5,11:46:00,11:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_5,11:50:00,11:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_6,12:50:00,12:50:00,BUR-8,1,,,,,,,1
B1_BevPem_12345_6,13:10:00,13:10:00,BUR-9,2,,,,,,,1
B1_BevPem_12345_6,13:27:00,13:27:00,BUR-10,3,,,,,,,1
B1_BevPem_12345_6,13:40:00,13:40:00,BUR-11,4,,,,,,,1
B1_BevPem_12345_7,12:40:00,12:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_7,12:50:00,12:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_7,12:55:00,12:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_7,13:04:00,13:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_7,13:17:00,13:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_7,13:32:00,13:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_7,13:46:00,13:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_7,13:50:00,13:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_7,14:10:00,14:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_7,14:27:00,14:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_7,14:40:00,14:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_8,13:40:00,13:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_8,13:50:00,13:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_8,13:55:00,13:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_8,14:04:00,14:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_8,14:17:00,14:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_8,14:32:00,14:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_8,14:46:00,14:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_8,14:50:00,14:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_8,15:10:00,15:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_8,15:27:00,15:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_8,15:40:00,15:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_9,14:40:00,14:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_9,14:50:00,14:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_9,14:55:00,14:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_9,15:04:00,15:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_9,15:17:00,15:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_9,15:32:00,15:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_9,15:46:00,15:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_9,15:50:00,15:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_9,16:10:00,16:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_9,16:27:00,16:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_9,16:40:00,16:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_10,15:40:00,15:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_10,15:50:00,15:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_10,15:55:00,15:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_10,16:04:00,16:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_10,16:17:00,16:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_10,16:32:00,16:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_10,16:46:00,16:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_10,16:50:00,16:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_10,17:10:00,17:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_10,17:27:00,17:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_10,17:40:00,17:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_11,16:40:00,16:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_11,16:50:00,16:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_11,16:55:00,16:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_11,17:04:00,17:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_11,17:17:00,17:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_11,17:32:00,17:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_11,17:46:00,17:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_11,17:50:00,17:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_11,18:10:00,18:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_11,18:27:00,18:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_11,18:40:00,18:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_12,17:40:00,17:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_12,17:50:00,17:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_12,17:55:00,17:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_12,18:04:00,18:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_12,18:17:00,18:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_12,18:32:00,18:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_12,18:46:00,18:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_12,18:50:00,18:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_12,19:10:00,19:10:00,BUR-9,9,,,,,,,1
B1_BevPem_12345_12,19:27:00,19:27:00,BUR-10,10,,,,,,,1
B1_BevPem_12345_12,19:40:00,19:40:00,BUR-11,11,,,,,,,1
B1_BevPem_12345_13,18:40:00,18:40:00,BUR-1,1,,,,,,,1
B1_BevPem_12345_13,18:50:00,18:50:00,BUR-2,2,,,,,,,1
B1_BevPem_12345_13,18:55:00,18:55:00,BUR-3,3,,,,,,,1
B1_BevPem_12345_13,19:04:00,19:04:00,BUR-4,4,,,,,,,1
B1_BevPem_12345_13,19:17:00,19:17:00,BUR-5,5,,,,,,,1
B1_BevPem_12345_13,19:32:00,19:32:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_13,19:46:00,19:46:00,BUR-7,7,,,,,,,1
B1_BevPem_12345_13,19:50:00,19:50:00,BUR-8,8,,,,,,,1
B1_BevPem_12345_14,06:30:00,06:30:00,BUR-8,1,,,,,,,1
B1_BevPem_12345_14,06:34:00,06:34:00,BUR-14,2,,,,,,,1
B1_BevPem_12345_14,06:48:00,06:48:00,BUR-6,3,,,,,,,1
B1_BevPem_12345_14,07:03:00,07:03:00,BUR-15,4,,,,,,,1
B1_BevPem_12345_14,07:16:00,07:16:00,BUR-16,5,,,,,,,1
B1_BevPem_12345_14,07:25:00,07:25:00,BUR-17,6,,,,,,,1
B1_BevPem_12345_14,07:30:00,07:30:00,BUR-2,7,,,,,,,1
B1_BevPem_12345_14,07:40:00,07:40:00,BUR-1,8,,,,,,,1
B1_BevPem_12345_15,06:40:00,06:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_15,06:53:00,06:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_15,07:10:00,07:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_15,07:30:00,07:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_15,07:34:00,07:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_15,07:48:00,07:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_15,08:03:00,08:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_15,08:16:00,08:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_15,08:25:00,08:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_15,08:30:00,08:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_15,08:40:00,08:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_16,07:40:00,07:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_16,07:53:00,07:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_16,08:10:00,08:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_16,08:30:00,08:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_16,08:34:00,08:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_16,08:48:00,08:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_16,09:03:00,09:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_16,09:16:00,09:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_16,09:25:00,09:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_16,09:30:00,09:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_16,09:40:00,09:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_17,08:40:00,08:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_17,08:53:00,08:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_17,09:10:00,09:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_17,09:30:00,09:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_17,09:34:00,09:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_17,09:48:00,09:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_17,10:03:00,10:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_17,10:16:00,10:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_17,10:25:00,10:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_17,10:30:00,10:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_17,10:40:00,10:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_18,09:40:00,09:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_18,09:53:00,09:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_18,10:10:00,10:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_18,10:30:00,10:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_18,10:34:00,10:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_18,10:48:00,10:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_18,11:03:00,11:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_18,11:16:00,11:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_18,11:25:00,11:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_18,11:30:00,11:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_18,11:40:00,11:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_19,10:40:00,10:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_19,10:53:00,10:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_19,11:10:00,11:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_19,11:30:00,11:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_20,12:30:00,12:30:00,BUR-8,1,,,,,,,1
B1_BevPem_12345_20,12:34:00,12:34:00,BUR-14,2,,,,,,,1
B1_BevPem_12345_20,12:48:00,12:48:00,BUR-6,3,,,,,,,1
B1_BevPem_12345_20,13:03:00,13:03:00,BUR-15,4,,,,,,,1
B1_BevPem_12345_20,13:16:00,13:16:00,BUR-16,5,,,,,,,1
B1_BevPem_12345_20,13:25:00,13:25:00,BUR-17,6,,,,,,,1
B1_BevPem_12345_20,13:30:00,13:30:00,BUR-2,7,,,,,,,1
B1_BevPem_12345_20,13:40:00,13:40:00,BUR-1,8,,,,,,,1
B1_BevPem_12345_21,12:40:00,12:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_21,12:53:00,12:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_21,13:10:00,13:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_21,13:30:00,13:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_21,13:34:00,13:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_21,13:48:00,13:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_21,14:03:00,14:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_21,14:16:00,14:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_21,14:25:00,14:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_21,14:30:00,14:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_21,14:40:00,14:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_22,13:40:00,13:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_22,13:53:00,13:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_22,14:10:00,14:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_22,14:30:00,14:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_22,14:34:00,14:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_22,14:48:00,14:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_22,15:03:00,15:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_22,15:16:00,15:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_22,15:25:00,15:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_22,15:30:00,15:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_22,15:40:00,15:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_23,14:40:00,14:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_23,14:53:00,14:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_23,15:10:00,15:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_23,15:30:00,15:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_23,15:34:00,15:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_23,15:48:00,15:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_23,16:03:00,16:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_23,16:16:00,16:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_23,16:25:00,16:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_23,16:30:00,16:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_23,16:40:00,16:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_24,15:40:00,15:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_24,15:53:00,15:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_24,16:10:00,16:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_24,16:30:00,16:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_24,16:34:00,16:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_24,16:48:00,16:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_24,17:03:00,17:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_24,17:16:00,17:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_24,17:25:00,17:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_24,17:30:00,17:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_24,17:40:00,17:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_25,16:40:00,16:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_25,16:53:00,16:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_25,17:10:00,17:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_25,17:30:00,17:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_25,17:34:00,17:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_25,17:48:00,17:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_25,18:03:00,18:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_25,18:16:00,18:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_25,18:25:00,18:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_25,18:30:00,18:30:00,BUR-2,10,,,,,,,1
B1_BevPem_12345_25,18:40:00,18:40:00,BUR-1,11,,,,,,,1
B1_BevPem_12345_26,17:40:00,17:40:00,BUR-11,1,,,,,,,1
B1_BevPem_12345_26,17:53:00,17:53:00,BUR-12,2,,,,,,,1
B1_BevPem_12345_26,18:10:00,18:10:00,BUR-13,3,,,,,,,1
B1_BevPem_12345_26,18:30:00,18:30:00,BUR-8,4,,,,,,,1
B1_BevPem_12345_26,18:34:00,18:34:00,BUR-14,5,,,,,,,1
B1_BevPem_12345_26,18:48:00,18:48:00,BUR-6,6,,,,,,,1
B1_BevPem_12345_26,19:03:00,19:03:00,BUR-15,7,,,,,,,1
B1_BevPem_12345_26,19:16:00,19:16:00,BUR-16,8,,,,,,,1
B1_BevPem_12345_26,19:25:00,19:25:00,BUR-17,9,,,,,,,1
B1_BevPem_12345_26,19:30:00,19:30:00,BUR-2,10,,,,,,,1
B2_West_12345_1,06:00:00,06:00:00,BUR-2,1,,,,,,,1
B2_West_12345_1,06:12:00,06:12:00,BUR-1,2,,,,,,,1
B2_West_12345_1,06:24:00,06:24:00,BUR-2,3,,,,,,,1
B2_West_12345_1,06:32:00,06:32:00,BUR-18,4,,,,,,,1
B2_West_12345_1,06:35:00,06:35:00,BUR-19,5,,,,,,,1
B2_West_12345_1,06:43:00,06:43:00,BUR-4,6,,,,,,,1
B2_West_12345_1,06:46:00,06:46:00,BUR-20,7,,,,,,,1
B2_West_12345_1,06:50:00,06:50:00,BUR-16,8,,,,,,,1
B2_West_12345_1,06:58:00,06:58:00,BUR-21,9,,,,,,,1
B2_West_12345_1,07:01:00,07:01:00,BUR-22,10,,,,,,,1
B2_West_12345_1,07:09:00,07:09:00,BUR-2,11,,,,,,,1
B2_West_12345_2,07:10:00,07:10:00,BUR-2,1,,,,,,,1
B2_West_12345_2,07:22:00,07:22:00,BUR-1,2,,,,,,,1
B2_West_12345_2,07:34:00,07:34:00,BUR-2,3,,,,,,,1
B2_West_12345_2,07:42:00,07:42:00,BUR-18,4,,,,,,,1
B2_West_12345_2,07:45:00,07:45:00,BUR-19,5,,,,,,,1
B2_West_12345_2,07:53:00,07:53:00,BUR-4,6,,,,,,,1
B2_West_12345_2,07:56:00,07:56:00,BUR-20,7,,,,,,,1
B2_West_12345_2,08:00:00,08:00:00,BUR-16,8,,,,,,,1
B2_West_12345_2,08:08:00,08:08:00,BUR-21,9,,,,,,,1
B2_West_12345_2,08:11:00,08:11:00,BUR-22,10,,,,,,,1
B2_West_12345_2,08:19:00,08:19:00,BUR-2,11,,,,,,,1
B2_West_12345_3,08:20:00,08:20:00,BUR-2,1,,,,,,,1
B2_West_12345_3,08:32:00,08:32:00,BUR-1,2,,,,,,,1
B2_West_12345_3,08:44:00,08:44:00,BUR-2,3,,,,,,,1
B2_West_12345_3,08:52:00,08:52:00,BUR-18,4,,,,,,,1
B2_West_12345_3,08:55:00,08:55:00,BUR-19,5,,,,,,,1
B2_West_12345_3,09:00:00,09:00:00,BUR-4,6,,,,,,,1
B2_West_12345_4,16:05:00,16:05:00,BUR-2,1,,,,,,,1
B2_West_12345_4,16:27:00,16:27:00,BUR-1,2,,,,,,,1
B2_West_12345_4,16:39:00,16:39:00,BUR-2,3,,,,,,,1
B2_West_12345_4,16:47:00,16:47:00,BUR-18,4,,,,,,,1
B2_West_12345_4,16:50:00,16:50:00,BUR-19,5,,,,,,,1
B2_West_12345_4,16:58:00,16:58:00,BUR-4,6,,,,,,,1
B2_West_12345_4,17:01:00,17:01:00,BUR-20,7,,,,,,,1
B2_West_12345_4,17:05:00,17:05:00,BUR-16,8,,,,,,,1
B2_West_12345_4,17:13:00,17:13:00,BUR-21,9,,,,,,,1
B2_West_12345_4,17:16:00,17:16:00,BUR-22,10,,,,,,,1
B2_West_12345_4,17:24:00,17:24:00,BUR-2,11,,,,,,,1
B2_West_12345_5,17:25:00,17:25:00,BUR-2,1,,,,,,,1
B2_West_12345_5,17:42:00,17:42:00,BUR-1,2,,,,,,,1
B2_West_12345_5,17:54:00,17:54:00,BUR-2,3,,,,,,,1
B2_West_12345_5,18:02:00,18:02:00,BUR-18,4,,,,,,,1
B2_West_12345_5,18:03:00,18:03:00,BUR-19,5,,,,,,,1
B2_West_12345_5,18:05:00,18:05:00,BUR-4,6,,,,,,,1
B5_IC_12345_1,05:45:00,05:45:00,BUR-24,1,,,,,,,1
B5_IC_12345_1,05:51:00,05:51:00,BUR-27,2,,,,,,,1
B5_IC_12345_1,06:01:00,06:01:00,BUR-23,3,,,,,,,1
B5_IC_12345_2,06:10:00,06:10:00,BUR-23,1,,,,,,,1
B5_IC_12345_2,06:17:00,06:17:00,BUR-24,2,,,,,,,1
B5_IC_12345_2,06:23:00,06:23:00,BUR-27,3,,,,,,,1
B5_IC_12345_2,06:29:00,06:29:00,BUR-25,4,,,,,,,1
B5_IC_12345_2,06:32:00,06:32:00,BUR-26,5,,,,,,,1
B5_IC_12345_2,06:37:00,06:37:00,BUR-23,6,,,,,,,1
B5_IC_12345_3,06:40:00,06:40:00,BUR-23,1,,,,,,,1
B5_IC_12345_3,06:47:00,06:47:00,BUR-24,2,,,,,,,1
B5_IC_12345_3,06:53:00,06:53:00,BUR-27,3,,,,,,,1
B5_IC_12345_3,06:56:00,06:56:00,BUR-25,4,,,,,,,1
B5_IC_12345_3,06:59:00,06:59:00,BUR-26,5,,,,,,,1
B5_IC_12345_3,07:06:00,07:06:00,BUR-23,6,,,,,,,1
B5_IC_12345_4,07:10:00,07:10:00,BUR-23,1,,,,,,,1
B5_IC_12345_4,07:17:00,07:17:00,BUR-24,2,,,,,,,1
B5_IC_12345_4,07:22:00,07:22:00,BUR-25,3,,,,,,,1
B5_IC_12345_4,07:25:00,07:25:00,BUR-26,4,,,,,,,1
B5_IC_12345_4,07:30:00,07:30:00,BUR-23,5,,,,,,,1
B5_IC_12345_5,07:40:00,07:40:00,BUR-23,1,,,,,,,1
B5_IC_12345_5,07:47:00,07:47:00,BUR-24,2,,,,,,,1
