trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
4680-E1_T01,04:30:00,04:30:00,R46_Dover_EB_001_WB_027,1,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_002,2,,,,,,,0
4680-E1_T01,04:37:00,04:37:00,R46_Dover_EB_003,3,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_004,4,,,,,,,0
4680-E1_T01,,,R46_Dover_EB_005,5,,,,,,,0
4680-E1_T01,,,R46_Dover_EB_006,6,,,,,,,0
4680-E1_T01,,,R46_Dover_EB_007,7,,,,,,,0
4680-E1_T01,04:45:00,04:45:00,R46_Dover_EB_008,8,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_009,9,,,,,,,0
4680-E1_T01,04:48:00,04:48:00,R46_Dover_EB_010,10,,,,,,,1
4680-E1_T01,04:50:00,04:50:00,R46_Dover_EB_018_WB_011,11,,,,,,,1
4680-E1_T01,04:51:00,04:51:00,R46_Dover_EB_019,12,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_020,13,,,,,,,0
4680-E1_T01,04:55:00,04:55:00,R46_Dover_EB_021,14,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_023,15,,,,,,,0
4680-E1_T01,05:00:00,05:00:00,R46_Dover_EB_024,16,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_025,17,,,,,,,0
4680-E1_T01,05:05:00,05:05:00,R46_Dover_EB_026,18,,,,,,,1
4680-E1_T01,,,R46_Dover_EB_027,19,,,,,,,0
4680-E1_T01,05:40:00,05:40:00,PABT,20,,,,,,,1
4680-E1_T02,05:00:00,05:00:00,R46_Dover_EB_001_WB_027,1,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_002,2,,,,,,,0
4680-E1_T02,05:07:00,05:07:00,R46_Dover_EB_003,3,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_004,4,,,,,,,0
4680-E1_T02,,,R46_Dover_EB_005,5,,,,,,,0
4680-E1_T02,,,R46_Dover_EB_006,6,,,,,,,0
4680-E1_T02,,,R46_Dover_EB_007,7,,,,,,,0
4680-E1_T02,05:15:00,05:15:00,R46_Dover_EB_008,8,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_009,9,,,,,,,0
4680-E1_T02,05:18:00,05:18:00,R46_Dover_EB_010,10,,,,,,,1
4680-E1_T02,05:20:00,05:20:00,R46_Dover_EB_018_WB_011,11,,,,,,,1
4680-E1_T02,05:21:00,05:21:00,R46_Dover_EB_019,12,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_020,13,,,,,,,0
4680-E1_T02,05:26:00,05:26:00,R46_Dover_EB_021,14,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_023,15,,,,,,,0
4680-E1_T02,05:30:00,05:30:00,R46_Dover_EB_024,16,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_025,17,,,,,,,0
4680-E1_T02,05:35:00,05:35:00,R46_Dover_EB_026,18,,,,,,,1
4680-E1_T02,,,R46_Dover_EB_027,19,,,,,,,0
4680-E1_T02,06:15:00,06:15:00,PABT,20,,,,,,,1
4680-E1_T03,05:30:00,05:30:00,R46_Dover_EB_001_WB_027,1,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_002,2,,,,,,,0
4680-E1_T03,05:37:00,05:37:00,R46_Dover_EB_003,3,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_004,4,,,,,,,0
4680-E1_T03,,,R46_Dover_EB_005,5,,,,,,,0
4680-E1_T03,,,R46_Dover_EB_006,6,,,,,,,0
4680-E1_T03,,,R46_Dover_EB_007,7,,,,,,,0
4680-E1_T03,05:45:00,05:45:00,R46_Dover_EB_008,8,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_009,9,,,,,,,0
4680-E1_T03,05:48:00,05:48:00,R46_Dover_EB_010,10,,,,,,,1
4680-E1_T03,05:50:00,05:50:00,R46_Dover_EB_018_WB_011,11,,,,,,,1
4680-E1_T03,05:51:00,05:51:00,R46_Dover_EB_019,12,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_020,13,,,,,,,0
4680-E1_T03,05:55:00,05:55:00,R46_Dover_EB_021,14,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_023,15,,,,,,,0
4680-E1_T03,06:00:00,06:00:00,R46_Dover_EB_024,16,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_025,17,,,,,,,0
4680-E1_T03,06:05:00,06:05:00,R46_Dover_EB_026,18,,,,,,,1
4680-E1_T03,,,R46_Dover_EB_027,19,,,,,,,0
4680-E1_T03,06:45:00,06:45:00,PABT,20,,,,,,,1
4680-E1_T04,06:00:00,06:00:00,R46_Dover_EB_001_WB_027,1,,,,,,,1
4680-E1_T04,,,R46_Dover_EB_002,2,,,,,,,0
4680-E1_T04,06:07:00,06:07:00,R46_Dover_EB_003,3,,,,,,,1
4680-E1_T04,,,R46_Dover_EB_004,4,,,,,,,0
4680-E1_T04,,,R46_Dover_EB_005,5,,,,,,,0
4680-E1_T04,,,R46_Dover_EB_006,6,,,,,,,0
4680-E1_T04,,,R46_Dover_EB_007,7,,,,,,,0
4680-E1_T04,06:15:00,06:15:00,R46_Dover_EB_008,8,,,,,,,1
4680-E1_T04,,,R46_Dover_EB_009,9,,,,,,,0
4680-E1_T04,06:18:00,06:18:00,R46_Dover_EB_010,10,,,,,,,1
4680-E1_T04,06:20:00,06:20:00,R46_Dover_EB_018_WB_011,11,,,,,,,1
4680-E1_T04,06:21:00,06:21:00,R46_Dover_EB_019,12,,,,,,,1
4680-E1_T04,,,R46_Dover_EB_020,13,,,,,,,0
4680-E1_T04,06:26:00,06:26:00,R46_Dover_EB_021,14,,,,,,,1
4680-E1_T04,,,R46_Dover_EB_023,15,,,,,,,0
4680-E1_T04,06:30:00,06:30:00,R46_Dover_EB_024,16,,,,,,,1
