stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
R80_Sparta_EB_001_WB_008,,Sparta Police Station Park & Ride,,41.04073,-74.6309,,,,,,
R80_Sparta_EB_002,,Lake Mohawk Center at Winona Pkwy.,,41.03198,-74.64049,,,,,,
R80_Sparta_EB_003,,Rt 181 N at Pine Cone Ln.,,41.02544,-74.63142,,,,,,
R80_Sparta_EB_004,,Rt 181 N at Saginaw Dr.,,41.02035,-74.62573,,,,,,
R80_Sparta_EB_005_WB_004,,Rt 181 N at Blue Heron Park & Ride,,41.01575,-74.61572,,,,,,
R80_Sparta_EB_006,,Rt 15 N at Berkshire Valley Rd.,,40.9304,-74.59096,,,,,,
RockawayMall,,Rockaway Mall Park & Ride (Lot 36),,40.90573,-74.55079,,,,,,
PABT,,NYC Port Authority Bus Terminal,,40.75684,-73.99142,,,,,,
R80_Stanhope_EB_001,,Rt 183 at Stanhope Park & Ride,,40.91125,-74.71346,,,,,,
R80_Stanhope_EB_002,,Rt 183 N at Main St.,,40.90196,-74.70506,,,,,,
R80_Stanhope_EB_003,,Center St. at Lake Hopatcong (Shopping Center),,40.91048,-74.66759,,,,,,
R80_Stanhope_EB_004_WB_003,,Howard Blvd. at Mt. Arlington Park & Ride,,40.89707,-74.63285,,,,,,
R46_Dover_EB_001_WB_027,,E Blackwell St. at Lakeland Bus Terminal,,40.88305,-74.53715,,,,,,
R46_Dover_EB_002,,W Main St. at Swedemine Rd.,,40.88739,-74.52937,,,,,,
R46_Dover_EB_003,,E Main St. at Wall St.,,40.90105,-74.51395,,,,,,
R46_Dover_EB_004,,E Main St. at Beach St.,,40.89738,-74.50526,,,,,,
R46_Dover_EB_005,,Rt 46 E at Crestview Rd.,,40.8972,-74.49046,,,,,,
R46_Dover_EB_006,,Rt 46 E at Franklin Rd.,,40.89565,-74.48515,,,,,,
R46_Dover_EB_007,,W Main St. Park & Ride,,40.89299,-74.4797,,,,,,
R46_Dover_EB_008,,Bloomfield Ave. Park & Ride,,40.89125,-74.47567,,,,,,
R46_Dover_EB_009,,Rt 46 E at Fox Hill Rd.,,40.88568,-74.46344,,,,,,
R46_Dover_EB_010,,Rt 46 E at Boulevard,,40.88386,-74.45887,,,,,,
R46_Dover_EB_012,,Boulevard at Lake Dr.,,40.89275,-74.44044,,,,,,
R46_Dover_EB_013,,Boulevard at Briarcliff Rd.,,40.89624,-74.43612,,,,,,
R46_Dover_EB_014,,W Main St. at Dell's Village,,40.9067,-74.42485,,,,,,
R46_Dover_EB_015,,W Main St. at Hill St.,,40.90707,-74.41482,,,,,,
R46_Dover_EB_016,,Washington Ave. at Lathrop Ave.,,40.90222,-74.40751,,,,,,
R46_Dover_EB_017,,Parsippany Blvd. at Wood Glen Way,,40.8879,-74.41725,,,,,,
R46_Dover_EB_018_WB_011,,Rt 46 E at Waterview Park & Ride,,40.87219,-74.4283,,,,,,
R46_Dover_EB_019,,Rt 46 E at Rt 202,,40.87074,-74.42098,,,,,,
R46_Dover_EB_020,,Rt 46 E at Baldwin Rd. Park & Ride,,40.86367,-74.39599,,,,,,
R46_Dover_EB_021,,Rt 46 E at Beverwyck Rd. Park & Ride,,40.8627,-74.38366,,,,,,
R46_Dover_EB_022,,Rt 46 E at Holiday Inn,,40.86167,-74.37153,,,,,,
R46_Dover_EB_023,,Rt 46 E at New Rd.,,40.85806,-74.34827,,,,,,
R46_Dover_EB_024,,Rt 46 E at Hook Mountain Rd.,,40.85791,-74.34071,,,,,,
R46_Dover_EB_025,,Rt 46 E at Clinton Rd.,,40.86862,-74.31018,,,,,,
R46_Dover_EB_026,,Rt 46 E at Hollywood Ave.,,40.88196,-74.29106,,,,,,
R46_Dover_EB_027,,Rt 46 E at Passaic Ave.,,40.88992,-74.27329,,,,,,
R78_Common_EB_001,,Mine Brook Rd. (202 N) at Bernardsville Train Station,,40.71696,-74.5717,,,,,,
R78_Common_EB_002,,Rt 202 N at N Finley Ave.,,40.72022,-74.5587,,,,,,
R78_Common_EB_003,,N. Finley Ave. at Ridge St.,,40.71104,-74.55317,,,,,,
R78_Common_EB_005,,S Finley Ave. at W Henry St.,,40.70507,-74.54906,,,,,,
R78_Common_EB_006,,S Finley Ave. at Cross Rd. (near Lyons Train Station),,40.68583,-74.54756,,,,,,
R78_Common_EB_007,,Stonehouse Rd. at Lyons Park & Ride,,40.68235,-74.54774,,,,,,
R78_Bville_EB_008,,Valley Rd. (512) at King George Rd.,,40.66257,-74.53409,,,,,,
R78_Bville_EB_009,,Valley Rd. (512) at S Northfield Rd.,,40.66559,-74.51621,,,,,,
R78_Bville_EB_010,,Valley Rd. (512) at Poplar Dr.,,40.66811,-74.488,,,,,,
R78_Bville_EB_011,,Valley Rd. (512) at Mountain Ave.,,40.67426,-74.46545,,,,,,
R78_Bville_EB_012,,Springfield Ave. at Plainfield Ave.,,40.6833,-74.44285,,,,,,
R78_Bville_EB_013,,Springfield Ave. at Briarwood Dr.,,40.69037,-74.43177,,,,,,
R78_Bville_EB_014,,Springfield Ave. at Union Ave.,,40.69568,-74.42351,,,,,,
R78_Bville_EB_015,,Springfield Ave. at South St.,,40.70579,-74.40675,,,,,,
