service_id,date,exception_type
SCOOT,20240101,2
SCOOT,20240219,2
SCOOT,20240329,2
SCOOT,20240527,2
SCOOT,20240704,2
SCOOT,20240902,2
SCOOT,20241111,2
SCOOT,20241128,2
SCOOT,20241129,2
SCOOT,20241225,2
SCOOT,20250101,2
SCOOT,20250217,2
SCOOT,20250418,2
SCOOT,20250526,2
SCOOT,20250704,2
SCOOT,20250901,2
SCOOT,20251111,2
SCOOT,20251127,2
SCOOT,20251128,2
SCOOT,20251225,2
SCOOT,20260101,2
SCOOT,20260216,2
SCOOT,20260403,2
SCOOT,20260525,2
SCOOT,20260704,2
SCOOT,20260907,2
SCOOT,20261111,2
SCOOT,20261126,2
SCOOT,20261127,2
SCOOT,20261225,2
SCOOT,20270101,2
SCOOT,20270215,2
SCOOT,20270326,2
SCOOT,20270531,2
SCOOT,20270704,2
SCOOT,20270906,2
SCOOT,20271111,2
SCOOT,20271125,2
SCOOT,20271126,2
SCOOT,20271225,2
SCOOT,20280101,2
SCOOT,20280221,2
SCOOT,20280414,2
SCOOT,20280529,2
SCOOT,20280704,2
SCOOT,20280904,2
SCOOT,20281111,2
SCOOT,20281123,2
SCOOT,20281124,2
SCOOT,20281225,2
SCOOT,20290101,2
SCOOT,20290219,2
SCOOT,20290330,2
SCOOT,20290528,2
SCOOT,20290704,2
SCOOT,20290903,2
SCOOT,20291111,2
SCOOT,20291122,2
SCOOT,20291123,2
SCOOT,20291225,2
SCOOT,20300101,2
SCOOT,20300218,2
SCOOT,20300419,2
SCOOT,20300527,2
SCOOT,20300704,2
SCOOT,20300902,2
SCOOT,20301111,2
SCOOT,20301128,2
SCOOT,20301129,2
SCOOT,20301225,2
SCOOT,20310101,2
SCOOT,20310217,2
SCOOT,20310411,2
SCOOT,20310526,2
SCOOT,20310704,2
SCOOT,20310901,2
SCOOT,20311111,2
SCOOT,20311127,2
SCOOT,20311128,2
SCOOT,20311225,2
SCOOT,20320101,2
SCOOT,20320216,2
SCOOT,20320326,2
SCOOT,20320531,2
SCOOT,20320704,2
SCOOT,20320906,2
SCOOT,20321111,2
SCOOT,20321125,2
SCOOT,20321126,2
SCOOT,20321225,2
SCOOT,20330101,2
SCOOT,20330221,2
SCOOT,20330415,2
SCOOT,20330530,2
SCOOT,20330704,2
SCOOT,20330905,2
SCOOT,20331111,2
SCOOT,20331124,2
SCOOT,20331125,2
SCOOT,20331225,2
SCOOT,20340101,2
DASH,20240101,2
DASH,20240219,2
DASH,20240329,2
DASH,20240527,2
DASH,20240704,2
DASH,20240902,2
DASH,20241111,2
DASH,20241128,2
DASH,20241129,2
DASH,20241225,2
DASH,20250101,2
DASH,20250217,2
DASH,20250418,2
DASH,20250526,2
DASH,20250704,2
DASH,20250901,2
DASH,20251111,2
DASH,20251127,2
DASH,20251128,2
DASH,20251225,2
DASH,20260101,2
DASH,20260216,2
DASH,20260403,2
DASH,20260525,2
DASH,20260704,2
DASH,20260907,2
DASH,20261111,2
DASH,20261126,2
DASH,20261127,2
DASH,20261225,2
DASH,20270101,2
DASH,20270215,2
DASH,20270326,2
DASH,20270531,2
DASH,20270704,2
DASH,20270906,2
DASH,20271111,2
DASH,20271125,2
DASH,20271126,2
DASH,20271225,2
DASH,20280101,2
DASH,20280221,2
DASH,20280414,2
DASH,20280529,2
DASH,20280704,2
DASH,20280904,2
DASH,20281111,2
DASH,20281123,2
DASH,20281124,2
DASH,20281225,2
DASH,20290101,2
DASH,20290219,2
DASH,20290330,2
DASH,20290528,2
DASH,20290704,2
DASH,20290903,2
DASH,20291111,2
DASH,20291122,2
DASH,20291123,2
DASH,20291225,2
DASH,20300101,2
DASH,20300218,2
DASH,20300419,2
DASH,20300527,2
DASH,20300704,2
DASH,20300902,2
DASH,20301111,2
DASH,20301128,2
DASH,20301129,2
DASH,20301225,2
DASH,20310101,2
DASH,20310217,2
DASH,20310411,2
DASH,20310526,2
DASH,20310704,2
DASH,20310901,2
DASH,20311111,2
DASH,20311127,2
DASH,20311128,2
DASH,20311225,2
DASH,20320101,2
DASH,20320216,2
DASH,20320326,2
DASH,20320531,2
DASH,20320704,2
DASH,20320906,2
DASH,20321111,2
DASH,20321125,2
DASH,20321126,2
DASH,20321225,2
DASH,20330101,2
DASH,20330221,2
DASH,20330415,2
DASH,20330530,2
DASH,20330704,2
DASH,20330905,2
DASH,20331111,2
DASH,20331124,2
DASH,20331125,2
DASH,20331225,2
DASH,20340101,2
CAT,20240101,2
CAT,20240219,2
CAT,20240329,2
CAT,20240527,2
CAT,20240704,2
CAT,20240902,2
CAT,20241111,2
CAT,20241128,2
CAT,20241129,2
CAT,20241225,2
CAT,20250101,2
CAT,20250217,2
CAT,20250418,2
CAT,20250526,2
CAT,20250704,2
CAT,20250901,2
CAT,20251111,2
CAT,20251127,2
CAT,20251128,2
CAT,20251225,2
CAT,20260101,2
CAT,20260216,2
CAT,20260403,2
CAT,20260525,2
CAT,20260704,2
CAT,20260907,2
CAT,20261111,2
CAT,20261126,2
CAT,20261127,2
CAT,20261225,2
CAT,20270101,2
CAT,20270215,2
CAT,20270326,2
CAT,20270531,2
CAT,20270704,2
CAT,20270906,2
CAT,20271111,2
CAT,20271125,2
CAT,20271126,2
CAT,20271225,2
CAT,20280101,2
CAT,20280221,2
CAT,20280414,2
CAT,20280529,2
CAT,20280704,2
CAT,20280904,2
CAT,20281111,2
CAT,20281123,2
CAT,20281124,2
CAT,20281225,2
CAT,20290101,2
CAT,20290219,2
CAT,20290330,2
CAT,20290528,2
CAT,20290704,2
CAT,20290903,2
CAT,20291111,2
CAT,20291122,2
CAT,20291123,2
CAT,20291225,2
CAT,20300101,2
CAT,20300218,2
CAT,20300419,2
CAT,20300527,2
CAT,20300704,2
CAT,20300902,2
CAT,20301111,2
CAT,20301128,2
CAT,20301129,2
CAT,20301225,2
CAT,20310101,2
CAT,20310217,2
CAT,20310411,2
CAT,20310526,2
CAT,20310704,2
CAT,20310901,2
CAT,20311111,2
CAT,20311127,2
CAT,20311128,2
CAT,20311225,2
CAT,20320101,2
CAT,20320216,2
CAT,20320326,2
CAT,20320531,2
CAT,20320704,2
CAT,20320906,2
CAT,20321111,2
CAT,20321125,2
CAT,20321126,2
CAT,20321225,2
CAT,20330101,2
CAT,20330221,2
CAT,20330415,2
CAT,20330530,2
CAT,20330704,2
CAT,20330905,2
CAT,20331111,2
CAT,20331124,2
CAT,20331125,2
CAT,20331225,2
CAT,20340101,2
