trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
CAT1R_T01,06:08:00,06:08:00,100,1,Somerset St & George St,,,,,,
CAT1R_T01,06:13:00,06:13:00,101,2,Albany St & Easton Ave,,,,,,
CAT1R_T01,06:15:00,06:15:00,47,3,Easton Ave & Hamilton St,,,,,,
CAT1R_T01,06:22:00,06:22:00,83,4,Value Center,,,,,,
CAT1R_T01,06:24:00,06:24:00,73,5,JFK & Amwell Rd,,,,,,
CAT1R_T01,06:28:00,06:28:00,84,6,360 Demott Ln,,,,,,
CAT1R_T01,06:41:00,06:41:00,85,7,Amwell Rd & Cedar Grove Ln,,,,,,
CAT1R_T01,06:43:00,06:43:00,86,8,Weston Rd & Cedar Grove Ln,,,,,,
CAT1R_T01,06:44:00,06:44:00,87,9,Renaissance Raritan Valley,,,,,,
CAT1R_T01,06:47:00,06:47:00,67,10,Elizabeth Ave & New Brunswick Rd,,,,,,
CAT1R_T01,06:48:00,06:48:00,102,11,New Brunswick Rd & Davidson Ave,,,,,,
CAT1R_T01,06:52:00,06:52:00,103,12,Davidson Ave & Atrium Dr,,,,,,
CAT1R_T01,06:53:00,06:53:00,55,13,Atrium Dr & Pierce St,,,,,,
CAT1R_T01,06:55:00,06:55:00,66,14,Pierce St & Elizabeth Ave,,,,,,
CAT1R_T01,07:01:00,07:01:00,26,15,Main St & Hamilton St,,,,,,
CAT1R_T01,07:10:00,07:10:00,8,16,Main St & Grove St,,,,,,
CAT1R_T01,07:13:00,07:13:00,9,17,Somerville Train Station,,,,,,
CAT1R_T01,07:17:00,07:17:00,19,18,One Mountain Ave,,,,,,
CAT1R_T01,07:20:00,07:20:00,93,19,Somerset St & First Ave,,,,,,
CAT1R_T01,07:26:00,07:26:00,94,20,Route 28 & First Ave,,,,,,
CAT1R_T01,07:33:00,07:33:00,89,21,RVCC,,,,,,
CAT1R_T02,06:50:00,06:50:00,100,1,Somerset St & George St,,,,,,
CAT1R_T02,06:55:00,06:55:00,101,2,Albany St & Easton Ave,,,,,,
CAT1R_T02,06:57:00,06:57:00,47,3,Easton Ave & Hamilton St,,,,,,
CAT1R_T02,07:02:00,07:02:00,83,4,Value Center,,,,,,
CAT1R_T02,07:09:00,07:09:00,73,5,JFK & Amwell Rd,,,,,,
CAT1R_T02,07:14:00,07:14:00,84,6,360 Demott Ln,,,,,,
CAT1R_T02,07:24:00,07:24:00,85,7,Amwell Rd & Cedar Grove Ln,,,,,,
CAT1R_T02,07:26:00,07:26:00,86,8,Weston Rd & Cedar Grove Ln,,,,,,
CAT1R_T02,07:27:00,07:27:00,87,9,Renaissance Raritan Valley,,,,,,
CAT1R_T02,07:30:00,07:30:00,67,10,Elizabeth Ave & New Brunswick Rd,,,,,,
CAT1R_T02,07:31:00,07:31:00,102,11,New Brunswick Rd & Davidson Ave,,,,,,
CAT1R_T02,07:35:00,07:35:00,103,12,Davidson Ave & Atrium Dr,,,,,,
