trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Allentown_Clinton_Ou_WD_100_T01,08:30:00,08:30:00,AllentownClinton_11,1,Newark Airport - Terminal A,,,,,0,1
Allentown_Clinton_Ou_WD_100_T01,09:00:00,09:00:00,AllentownClinton_10,2,"Clinton, NJ Park &Amp; Ride",,,,,30.327,1
Allentown_Clinton_Ou_WD_100_T01,09:50:00,09:50:00,AllentownClinton_9,3,"Easton, PA- Intermodal Transportation Center",,,,,99.941,1
Allentown_Clinton_Ou_WD_100_T01,10:20:00,10:20:00,AllentownClinton_8,4,William Penn Highway Park &Amp; Ride,,,,,133.907,1
Allentown_Clinton_Ou_WD_100_T01,10:35:00,10:35:00,AllentownClinton_7,5,Wind Creek Bethlehem,1,,,,146.139,1
Allentown_Clinton_Ou_WD_100_T01,10:50:00,10:50:00,AllentownClinton_6,6,Lehigh Valley Intl Airport (ABE),,,,,161.313,1
Allentown_Clinton_Ou_WD_100_T01,11:05:00,11:05:00,AllentownClinton_3,7,Allentown Transportation Center - Platform C,,,,,171.864,1
Allentown_Clinton_Ou_WD_100_T01,11:25:00,11:25:00,AllentownClinton_1,8,,,,,,179.771,1
Allentown_Clinton_Ou_WD_104_T01,10:00:00,10:00:00,AllentownClinton_11,1,Newark Airport - Terminal A,,,,,0,1
Allentown_Clinton_Ou_WD_104_T01,10:30:00,10:30:00,AllentownClinton_10,2,"Clinton, NJ Park &Amp; Ride",,,,,28.408,1
Allentown_Clinton_Ou_WD_104_T01,11:20:00,11:20:00,AllentownClinton_9,3,"Easton, PA- Intermodal Transportation Center",,,,,98.04,1
Allentown_Clinton_Ou_WD_104_T01,11:50:00,11:50:00,AllentownClinton_8,4,William Penn Highway Park &Amp; Ride,,,,,132.007,1
Allentown_Clinton_Ou_WD_104_T01,12:05:00,12:05:00,AllentownClinton_7,5,Lehigh Valley Intl Airport (ABE),,,,,144.239,1
Allentown_Clinton_Ou_WD_104_T01,12:20:00,12:20:00,AllentownClinton_3,6,0,,,,,161.713,1
