shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LBIFERRY_OU,39.601762,-74.342386,1,0
LBIFERRY_OU,39.601484,-74.342092,2,0.04
LBIFERRY_OU,39.601391,-74.341943,3,0.056
LBIFERRY_OU,39.601335,-74.34162,4,0.085
LBIFERRY_OU,39.601339,-74.341337,5,0.109
LBIFERRY_OU,39.601272,-74.341063,6,0.134
LBIFERRY_OU,39.601139,-74.340927,7,0.152
LBIFERRY_OU,39.600689,-74.34061,8,0.209
LBIFERRY_OU,39.600336,-74.340536,9,0.249
LBIFERRY_OU,39.599708,-74.340561,10,0.319
LBIFERRY_OU,39.599444,-74.340462,11,0.349
LBIFERRY_OU,39.599066,-74.340163,12,0.399
LBIFERRY_OU,39.598859,-74.340128,13,0.422
LBIFERRY_OU,39.598623,-74.340172,14,0.448
LBIFERRY_OU,39.5985,-74.340306,15,0.466
LBIFERRY_OU,39.598348,-74.340538,16,0.492
LBIFERRY_OU,39.598111,-74.340756,17,0.525
LBIFERRY_OU,39.597818,-74.34093,18,0.561
LBIFERRY_OU,39.597026,-74.341455,19,0.659
LBIFERRY_OU,39.59675,-74.341748,20,0.699
LBIFERRY_OU,39.596492,-74.341888,21,0.73
LBIFERRY_OU,39.596256,-74.341893,22,0.756
LBIFERRY_OU,39.595537,-74.341951,23,0.836
LBIFERRY_OU,39.595273,-74.341834,24,0.868
LBIFERRY_OU,39.595018,-74.341717,25,0.898
LBIFERRY_OU,39.594843,-74.341735,26,0.917
LBIFERRY_OU,39.594551,-74.341942,27,0.954
LBIFERRY_OU,39.594207,-74.342301,28,1.003
LBIFERRY_OU,39.594023,-74.342423,29,1.026
LBIFERRY_OU,39.593946,-74.342417,30,1.035
LBIFERRY_OU,39.593836,-74.342345,31,1.048
LBIFERRY_OU,39.593738,-74.342249,32,1.062
LBIFERRY_OU,39.593429,-74.341774,33,1.115
LBIFERRY_OU,39.593264,-74.34133,34,1.158
LBIFERRY_OU,39.593207,-74.341091,35,1.179
LBIFERRY_OU,39.593083,-74.340914,36,1.2
LBIFERRY_OU,39.592903,-74.340767,37,1.223
LBIFERRY_OU,39.592676,-74.34068,38,1.25
LBIFERRY_OU,39.592472,-74.340701,39,1.272
LBIFERRY_OU,39.592281,-74.340843,40,1.297
LBIFERRY_OU,39.592091,-74.34104,41,1.324
LBIFERRY_OU,39.591957,-74.341111,42,1.34
LBIFERRY_OU,39.591658,-74.341201,43,1.374
LBIFERRY_OU,39.591395,-74.341138,44,1.404
LBIFERRY_OU,39.591318,-74.341038,45,1.416
LBIFERRY_OU,39.591291,-74.340889,46,1.429
LBIFERRY_OU,39.591264,-74.340721,47,1.444
LBIFERRY_OU,39.5912,-74.340476,48,1.466
LBIFERRY_OU,39.591106,-74.340337,49,1.482
LBIFERRY_OU,39.591023,-74.340299,50,1.491
LBIFERRY_OU,39.590911,-74.340285,51,1.504
LBIFERRY_OU,39.590816,-74.340329,52,1.515
LBIFERRY_OU,39.590432,-74.340482,53,1.56
LBIFERRY_OU,39.590238,-74.34051,54,1.582
LBIFERRY_OU,39.590061,-74.340467,55,1.602
LBIFERRY_OU,39.589943,-74.340481,56,1.615
LBIFERRY_OU,39.58985,-74.34054,57,1.626
LBIFERRY_OU,39.589753,-74.340687,58,1.643
LBIFERRY_OU,39.589568,-74.340833,59,1.667
LBIFERRY_OU,39.58939,-74.340836,60,1.687
LBIFERRY_OU,39.589212,-74.340781,61,1.707
LBIFERRY_OU,39.588986,-74.340568,62,1.738
LBIFERRY_OU,39.588734,-74.340442,63,1.768
LBIFERRY_OU,39.588475,-74.340525,64,1.798
LBIFERRY_OU,39.588042,-74.340865,65,1.854
LBIFERRY_OU,39.587127,-74.341764,66,1.982
LBIFERRY_OU,39.586937,-74.341837,67,2.004
LBIFERRY_OU,39.586732,-74.341785,68,2.027
LBIFERRY_OU,39.586347,-74.341582,69,2.073
LBIFERRY_OU,39.58604,-74.341599,70,2.107
LBIFERRY_OU,39.585766,-74.341747,71,2.14
LBIFERRY_OU,39.585539,-74.341763,72,2.166
LBIFERRY_OU,39.585317,-74.341595,73,2.194
LBIFERRY_OU,39.584412,-74.340717,74,2.32
LBIFERRY_OU,39.584231,-74.34066,75,2.341
LBIFERRY_OU,39.584056,-74.340686,76,2.36
LBIFERRY_OU,39.583871,-74.34084,77,2.385
LBIFERRY_OU,39.58361,-74.340942,78,2.415
LBIFERRY_OU,39.583368,-74.340932,79,2.442
LBIFERRY_OU,39.583178,-74.340857,80,2.464
LBIFERRY_OU,39.583104,-74.340763,81,2.475
