service_id,date,exception_type
mtwtf,20230101,2
mtwtf,20230116,2
mtwtf,20230213,2
mtwtf,20230220,2
mtwtf,20230407,2
mtwtf,20230529,2
mtwtf,20230616,2
mtwtf,20230704,2
mtwtf,20230904,2
mtwtf,20231009,2
mtwtf,20231107,2
mtwtf,20231110,2
mtwtf,20231123,2
mtwtf,20231124,2
mtwtf,20231225,2
mtwtf,20240101,2
mtwtf,20240115,2
mtwtf,20240219,2
mtwtf,20240527,2
mtwtf,20240619,2
mtwtf,20240704,2
mtwtf,20240902,2
mtwtf,20241009,2
mtwtf,20241111,2
mtwtf,20241128,2
mtwtf,20241225,2
