trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Rt31S_to_57E_T01,08:00:00,08:00:00,1WH,1,WH Family Clinic,,,,,,1
Rt31S_to_57E_T01,,,2_DWH,2,Shoprite,2,2,,,,
Rt31S_to_57E_T01,08:10:00,08:10:00,3WH,3,Rt. 57 W and Railroad Ave,,,,,,1
Rt31S_to_57E_T01,08:13:00,08:13:00,4WH,4,Rt. 57 at NJ DMV,,,,,,1
Rt31S_to_57E_T01,,,4_DWH,5,Lowes in Hackettstown on Rt 57,2,2,,,,
Rt31S_to_57E_T01,08:30:00,08:30:00,5WH,6,,,,,,,1
Rt31S_to_57E_T02,09:00:00,09:00:00,1WH,1,WH Family Clinic,,,,,,1
Rt31S_to_57E_T02,,,2_DWH,2,Shoprite,2,2,,,,
Rt31S_to_57E_T02,09:10:00,09:10:00,3WH,3,Rt. 57 W and Railroad Ave,,,,,,1
Rt31S_to_57E_T02,09:13:00,09:13:00,4WH,4,Rt. 57 at NJ DMV,,,,,,1
Rt31S_to_57E_T02,,,4_DWH,5,Lowes in Hackettstown on Rt 57,2,2,,,,
Rt31S_to_57E_T02,09:30:00,09:30:00,5WH,6,,,,,,,1
Rt31S_to_57E_T03,10:00:00,10:00:00,1WH,1,WH Family Clinic,,,,,,1
Rt31S_to_57E_T03,,,2_DWH,2,Shoprite,2,2,,,,
Rt31S_to_57E_T03,10:10:00,10:10:00,3WH,3,Rt. 57 W and Railroad Ave,,,,,,1
Rt31S_to_57E_T03,10:13:00,10:13:00,4WH,4,Rt. 57 at NJ DMV,,,,,,1
Rt31S_to_57E_T03,,,4_DWH,5,Lowes in Hackettstown on Rt 57,2,2,,,,
Rt31S_to_57E_T03,10:30:00,10:30:00,5WH,6,,,,,,,1
Rt31S_to_57E_T04,11:00:00,11:00:00,1WH,1,WH Family Clinic,,,,,,1
Rt31S_to_57E_T04,,,2_DWH,2,Shoprite,2,2,,,,
Rt31S_to_57E_T04,11:10:00,11:10:00,3WH,3,Rt. 57 W and Railroad Ave,,,,,,1
Rt31S_to_57E_T04,11:13:00,11:13:00,4WH,4,Rt. 57 at NJ DMV,,,,,,1
Rt31S_to_57E_T04,,,4_DWH,5,Lowes in Hackettstown on Rt 57,2,2,,,,
Rt31S_to_57E_T04,11:30:00,11:30:00,5WH,6,,,,,,,1
