route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
WtoH,mtwtf,Rt31S_to_57E_T01,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T02,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T03,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T04,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T05,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T06,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T07,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt31S_to_57E_T08,Hackettstown,0,,WashHack,1,
WtoH,mtwtf,Rt57W_to_31N_T01,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T02,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T03,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T04,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T05,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T06,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T07,Washington,1,,HackWash,1,
WtoH,mtwtf,Rt57W_to_31N_T08,Washington,1,,HackWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T01,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T02,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T03,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T04,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T05,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T06,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T07,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T08,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T09,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T10,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T11,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington_T12,Washington,0,,PhilWash,1,
PtoW,mtwtf,Phillipsburg to Washington short_T01,Phillipsburg,0,,PhilWash,1,
PtoW,mtwtf,Washington to Phillipsburg_T01,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg_T02,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg_T03,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg_T04,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg_T05,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg_T06,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg short_T01,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg short_T02,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg short_T03,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg short_T04,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg short_T05,Phillipsburg,1,,WashPhil,1,
PtoW,mtwtf,Washington to Phillipsburg short_T06,Phillipsburg,1,,WashPhil,1,
PtoW,sat,Phillipsburg to Washington sat_T01,Washington,0,,PhilWash,1,
PtoW,sat,Phillipsburg to Washington sat_T02,Washington,0,,PhilWash,1,
PtoW,sat,Phillipsburg to Washington sat_T03,Washington,0,,PhilWash,1,
PtoW,sat,Phillipsburg to Washington sat_T04,Washington,0,,PhilWash,1,
PtoW,sat,Washington to Phillipsburg sat_T01,Washington,1,,WashPhil,1,
PtoW,sat,Washington to Phillipsburg sat_T02,Washington,1,,WashPhil,1,
PtoW,sat,Washington to Phillipsburg sat_T03,Washington,1,,WashPhil,1,
