service_id,date,exception_type
10853,20231226,1
10853,20240101,1
10853,20240102,1
10850,20231125,1
10850,20231126,1
10850,20231201,1
10850,20231202,1
10850,20231203,1
10850,20231222,1
10850,20231223,1
10850,20231224,1
10850,20231229,1
10850,20231230,1
10850,20231231,1
10830,20240115,1
10830,20240329,1
10827,20240106,1
10827,20240107,1
10827,20240113,1
10827,20240114,1
10827,20240120,1
10827,20240121,1
10827,20240127,1
10827,20240128,1
10827,20240203,1
10827,20240204,1
10827,20240210,1
10827,20240211,1
10827,20240217,1
10827,20240218,1
10827,20240224,1
10827,20240225,1
10827,20240302,1
10827,20240303,1
10827,20240309,1
10827,20240310,1
10827,20240316,1
10827,20240317,1
10827,20240323,1
10827,20240324,1
10827,20240330,1
10827,20240331,1
10827,20240406,1
10827,20240407,1
10827,20240413,1
10827,20240414,1
10824,20240103,1
10824,20240104,1
10824,20240105,1
10824,20240108,1
10824,20240109,1
10824,20240110,1
10824,20240111,1
10824,20240112,1
10824,20240116,1
10824,20240117,1
10824,20240118,1
10824,20240119,1
10824,20240122,1
10824,20240123,1
10824,20240124,1
10824,20240125,1
10824,20240126,1
10824,20240129,1
10824,20240130,1
10824,20240131,1
10824,20240201,1
10824,20240202,1
10824,20240205,1
10824,20240206,1
10824,20240207,1
10824,20240208,1
10824,20240209,1
10824,20240212,1
10824,20240213,1
10824,20240214,1
10824,20240215,1
10824,20240216,1
10824,20240219,1
10824,20240220,1
10824,20240221,1
10824,20240222,1
10824,20240223,1
10824,20240226,1
10824,20240227,1
10824,20240228,1
10824,20240229,1
10824,20240301,1
10824,20240304,1
10824,20240305,1
10824,20240306,1
10824,20240307,1
10824,20240308,1
10824,20240311,1
10824,20240312,1
10824,20240313,1
10824,20240314,1
10824,20240315,1
10824,20240318,1
10824,20240319,1
10824,20240320,1
10824,20240321,1
10824,20240322,1
10824,20240325,1
10824,20240326,1
10824,20240327,1
10824,20240328,1
10824,20240401,1
10824,20240402,1
10824,20240403,1
10824,20240404,1
10824,20240405,1
10824,20240408,1
10824,20240409,1
10824,20240410,1
10824,20240411,1
10824,20240412,1
10824,20240415,1
10824,20240416,1
10824,20240417,1
10821,20240101,1
10818,20231226,1
10818,20240102,1
10815,20231125,1
10815,20231126,1
10815,20231202,1
10815,20231203,1
10815,20231223,1
10815,20231224,1
10815,20231230,1
10815,20231231,1
10811,20231201,1
10811,20231222,1
10811,20231229,1
10808,20231012,1
10808,20231013,1
10808,20231016,1
10808,20231017,1
10808,20231018,1
10808,20231019,1
10808,20231020,1
10808,20231023,1
10808,20231024,1
10808,20231025,1
10808,20231026,1
10808,20231027,1
10808,20231030,1
10808,20231031,1
10808,20231101,1
10808,20231102,1
10808,20231103,1
10808,20231106,1
10808,20231107,1
10808,20231108,1
10808,20231109,1
10808,20231110,1
10808,20231113,1
10808,20231114,1
10808,20231115,1
10808,20231116,1
10808,20231117,1
10808,20231120,1
10808,20231121,1
10808,20231124,1
10808,20231127,1
10808,20231128,1
10808,20231129,1
10808,20231130,1
10808,20231204,1
10808,20231205,1
10808,20231206,1
10808,20231207,1
10808,20231208,1
10808,20231211,1
10808,20231212,1
10808,20231213,1
10808,20231214,1
10808,20231215,1
10808,20231218,1
10808,20231219,1
10808,20231220,1
10808,20231221,1
10808,20231227,1
10808,20231228,1
10805,20231014,1
10805,20231015,1
10805,20231021,1
10805,20231022,1
10805,20231028,1
10805,20231029,1
10805,20231104,1
10805,20231105,1
10805,20231111,1
10805,20231112,1
10805,20231118,1
10805,20231119,1
10805,20231209,1
10805,20231210,1
10805,20231216,1
10805,20231217,1
10802,20231226,1
10802,20240101,1
10802,20240102,1
10799,20231125,1
10799,20231126,1
10799,20231201,1
10799,20231202,1
10799,20231203,1
10799,20231222,1
10799,20231223,1
10799,20231224,1
10799,20231229,1
10799,20231230,1
10799,20231231,1
