shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
211-176_175_9323_168,40.409393,-73.996235,1
211-176_175_9323_168,40.410651,-73.99823,2
211-176_175_9323_168,40.411746,-74.000225,3
211-176_175_9323_168,40.412776,-74.002306,4
211-176_175_9323_168,40.413642,-74.004526,5
211-176_175_9323_168,40.413968,-74.00577,6
211-176_175_9323_168,40.414124,-74.006414,7
211-176_175_9323_168,40.41423,-74.007036,8
211-176_175_9323_168,40.414622,-74.009514,9
211-176_175_9323_168,40.414981,-74.011992,10
211-176_175_9323_168,40.415308,-74.014427,11
211-176_175_9323_168,40.419357,-74.034081,12
211-176_175_9323_168,40.44355,-74.035835,13
211-176_175_9323_168,40.48012,-74.03635,14
211-176_175_9323_168,40.544852,-74.037981,15
211-176_175_9323_168,40.601442,-74.037895,16
211-176_175_9323_168,40.611346,-74.042873,17
211-176_175_9323_168,40.63037,-74.048195,18
211-176_175_9323_168,40.655508,-74.036694,19
211-176_175_9323_168,40.678685,-74.024506,20
211-176_175_9323_168,40.684934,-74.015408,21
211-176_175_9323_168,40.692483,-74.006824,22
211-176_175_9323_168,40.702781,-74.005046,23
211-176_175_9323_168,40.706929,-73.992405,24
211-176_175_9323_168,40.708653,-73.980174,25
211-176_175_9323_168,40.711354,-73.972235,26
211-176_175_9323_168,40.733015,-73.967256,27
211-176_175_9323_168,40.74147,-73.968587,28
211-176_175_9323_168,40.743894,-73.970658,29
211-168_9323_175_176,40.743894,-73.970658,1
211-168_9323_175_176,40.74147,-73.968587,2
211-168_9323_175_176,40.733015,-73.967256,3
211-168_9323_175_176,40.711354,-73.972235,4
211-168_9323_175_176,40.708653,-73.980174,5
211-168_9323_175_176,40.706929,-73.992405,6
211-168_9323_175_176,40.702781,-74.005046,7
211-168_9323_175_176,40.692483,-74.006824,8
211-168_9323_175_176,40.684934,-74.015408,9
211-168_9323_175_176,40.678685,-74.024506,10
211-168_9323_175_176,40.655508,-74.036694,11
211-168_9323_175_176,40.63037,-74.048195,12
211-168_9323_175_176,40.611346,-74.042873,13
211-168_9323_175_176,40.601442,-74.037895,14
211-168_9323_175_176,40.544852,-74.037981,15
211-168_9323_175_176,40.48012,-74.03635,16
211-168_9323_175_176,40.44355,-74.035835,17
211-168_9323_175_176,40.419357,-74.034081,18
211-168_9323_175_176,40.415308,-74.014427,19
211-168_9323_175_176,40.414981,-74.011992,20
211-168_9323_175_176,40.414622,-74.009514,21
211-168_9323_175_176,40.41423,-74.007036,22
211-168_9323_175_176,40.414124,-74.006414,23
211-168_9323_175_176,40.413968,-74.00577,24
211-168_9323_175_176,40.413642,-74.004526,25
211-168_9323_175_176,40.412776,-74.002306,26
211-168_9323_175_176,40.411746,-74.000225,27
211-168_9323_175_176,40.410651,-73.99823,28
211-168_9323_175_176,40.409393,-73.996235,29
211-176_175_168_9323,40.409393,-73.996235,1
211-176_175_168_9323,40.410651,-73.99823,2
211-176_175_168_9323,40.411746,-74.000225,3
211-176_175_168_9323,40.412776,-74.002306,4
211-176_175_168_9323,40.413642,-74.004526,5
211-176_175_168_9323,40.41423,-74.007036,6
211-176_175_168_9323,40.414663,-74.00967,7
211-176_175_168_9323,40.41539,-74.014899,8
211-176_175_168_9323,40.419357,-74.034081,9
211-176_175_168_9323,40.442767,-74.035664,10
211-176_175_168_9323,40.601442,-74.037895,11
211-176_175_168_9323,40.611346,-74.042873,12
211-176_175_168_9323,40.63037,-74.048195,13
211-176_175_168_9323,40.656746,-74.036028,14
211-176_175_168_9323,40.678685,-74.024506,15
211-176_175_168_9323,40.684934,-74.015408,16
211-176_175_168_9323,40.692483,-74.006824,17
211-176_175_168_9323,40.701073,-74.001354,18
211-176_175_168_9323,40.701935,-74.000594,19
211-176_175_168_9323,40.702765,-73.999621,20
211-176_175_168_9323,40.704294,-73.997287,21
211-176_175_168_9323,40.706929,-73.992405,22
211-176_175_168_9323,40.708653,-73.980174,23
211-176_175_168_9323,40.711354,-73.972235,24
211-176_175_168_9323,40.733015,-73.967256,25
211-176_175_168_9323,40.74147,-73.968587,26
211-176_175_168_9323,40.743894,-73.970658,27
211-176_175_168_9323,40.74147,-73.968587,28
211-176_175_168_9323,40.733015,-73.967256,29
211-176_175_168_9323,40.711354,-73.972235,30
