trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,pickup_type,drop_off_type
10853_0_0,09:50:00,09:50:00,7777,1,,0,1
10853_0_0,10:50:00,10:50:00,185,2,,1,0
10853_0_1,11:15:00,11:15:00,185,1,,0,1
10853_0_1,12:15:00,12:15:00,7777,2,,1,0
10850_0_0,09:50:00,09:50:00,7777,1,,0,1
10850_0_0,10:50:00,10:50:00,185,2,,1,0
10850_0_1,11:15:00,11:15:00,185,1,,0,1
10850_0_1,12:15:00,12:15:00,7777,2,,1,0
10850_1_0,15:00:00,15:00:00,7777,1,,0,1
10850_1_0,16:00:00,16:00:00,185,2,,1,0
10850_1_1,16:15:00,16:15:00,185,1,,0,1
10850_1_1,17:15:00,17:15:00,7777,2,,1,0
10830_0_0,09:30:00,09:30:00,186,1,,0,1
10830_0_0,10:25:00,10:25:00,7777,2,,1,0
10830_0_1,11:00:00,11:00:00,7777,1,,0,1
10830_0_1,11:55:00,11:55:00,186,2,,1,0
10830_1_0,15:15:00,15:15:00,186,1,,0,1
10830_1_0,16:10:00,16:10:00,7777,2,,1,0
10830_1_1,16:40:00,16:40:00,7777,1,,0,1
10830_1_1,17:35:00,17:35:00,186,2,,1,0
10827_0_0,09:30:00,09:30:00,186,1,,0,1
10827_0_0,10:25:00,10:25:00,7777,2,,1,0
10827_0_1,11:00:00,11:00:00,7777,1,,0,1
10827_0_1,11:55:00,11:55:00,186,2,,1,0
10827_1_0,15:15:00,15:15:00,186,1,,0,1
10827_1_0,16:10:00,16:10:00,7777,2,,1,0
10827_1_1,16:40:00,16:40:00,7777,1,,0,1
10827_1_1,17:35:00,17:35:00,186,2,,1,0
10824_0_0,06:00:00,06:00:00,186,1,,0,1
10824_0_0,06:55:00,06:55:00,7777,2,,1,0
10824_0_1,07:30:00,07:30:00,7777,1,,0,1
10824_0_1,08:25:00,08:25:00,186,2,,1,0
10824_1_0,15:15:00,15:15:00,186,1,,0,1
10824_1_0,16:10:00,16:10:00,7777,2,,1,0
10824_1_1,16:40:00,16:40:00,7777,1,,0,1
10824_1_1,17:35:00,17:35:00,186,2,,1,0
10821_0_0,08:50:00,08:50:00,186,1,,0,1
10821_0_0,09:40:00,09:40:00,7777,2,,1,0
10821_0_1,12:30:00,12:30:00,7777,1,,0,1
10821_0_1,13:25:00,13:25:00,186,2,,1,0
10821_1_0,15:15:00,15:15:00,186,1,,0,1
10821_1_0,16:10:00,16:10:00,7777,2,,1,0
10821_1_1,16:40:00,16:40:00,7777,1,,0,1
10821_1_1,17:35:00,17:35:00,186,2,,1,0
10818_0_0,06:00:00,06:00:00,186,1,,0,1
10818_0_0,06:55:00,06:55:00,7777,2,,1,0
10818_0_1,07:30:00,07:30:00,7777,1,,0,1
10818_0_1,08:25:00,08:25:00,186,2,,1,0
10818_1_0,08:50:00,08:50:00,186,1,,0,1
10818_1_0,09:40:00,09:40:00,7777,2,,1,0
10818_1_1,12:30:00,12:30:00,7777,1,,0,1
10818_1_1,13:25:00,13:25:00,186,2,,1,0
10818_2_0,15:15:00,15:15:00,186,1,,0,1
10818_2_0,16:10:00,16:10:00,7777,2,,1,0
10818_2_1,16:40:00,16:40:00,7777,1,,0,1
10818_2_1,17:35:00,17:35:00,186,2,,1,0
10815_0_0,08:50:00,08:50:00,186,1,,0,1
10815_0_0,09:40:00,09:40:00,7777,2,,1,0
10815_0_1,12:30:00,12:30:00,7777,1,,0,1
10815_0_1,13:25:00,13:25:00,186,2,,1,0
10815_1_0,14:00:00,14:00:00,186,1,,0,1
10815_1_0,14:50:00,14:50:00,7777,2,,1,0
10815_1_1,17:30:00,17:30:00,7777,1,,0,1
10815_1_1,18:25:00,18:25:00,186,2,,1,0
10811_0_0,06:00:00,06:00:00,186,1,,0,1
10811_0_0,06:55:00,06:55:00,7777,2,,1,0
10811_0_1,07:30:00,07:30:00,7777,1,,0,1
10811_0_1,08:25:00,08:25:00,186,2,,1,0
10811_1_0,08:50:00,08:50:00,186,1,,0,1
10811_1_0,09:40:00,09:40:00,7777,2,,1,0
10811_1_1,12:30:00,12:30:00,7777,1,,0,1
10811_1_1,13:25:00,13:25:00,186,2,,1,0
10811_2_0,14:00:00,14:00:00,186,1,,0,1
10811_2_0,14:50:00,14:50:00,7777,2,,1,0
10811_2_1,17:30:00,17:30:00,7777,1,,0,1
10811_2_1,18:25:00,18:25:00,186,2,,1,0
10808_0_0,06:00:00,06:00:00,186,1,,0,1
10808_0_0,06:55:00,06:55:00,7777,2,,1,0
10808_0_1,07:30:00,07:30:00,7777,1,,0,1
10808_0_1,08:25:00,08:25:00,186,2,,1,0
10808_1_0,15:15:00,15:15:00,186,1,,0,1
10808_1_0,16:10:00,16:10:00,7777,2,,1,0
10808_1_1,16:40:00,16:40:00,7777,1,,0,1
10808_1_1,17:35:00,17:35:00,186,2,,1,0
10805_0_0,09:30:00,09:30:00,186,1,,0,1
10805_0_0,10:25:00,10:25:00,7777,2,,1,0
10805_0_1,11:00:00,11:00:00,7777,1,,0,1
10805_0_1,11:55:00,11:55:00,186,2,,1,0
10805_1_0,15:15:00,15:15:00,186,1,,0,1
10805_1_0,16:10:00,16:10:00,7777,2,,1,0
10805_1_1,16:40:00,16:40:00,7777,1,,0,1
10805_1_1,17:35:00,17:35:00,186,2,,1,0
10802_0_0,08:50:00,08:50:00,186,1,,0,1
10802_0_0,10:50:00,10:50:00,185,2,,1,0
10802_0_1,11:15:00,11:15:00,185,1,,0,1
10802_0_1,13:25:00,13:25:00,186,2,,1,0
10799_0_0,08:50:00,08:50:00,186,1,,0,1
10799_0_0,10:50:00,10:50:00,185,2,,1,0
10799_0_1,11:15:00,11:15:00,185,1,,0,1
10799_0_1,13:25:00,13:25:00,186,2,,1,0
10799_1_0,14:00:00,14:00:00,186,1,,0,1
10799_1_0,16:00:00,16:00:00,185,2,,1,0
10799_1_1,16:15:00,16:15:00,185,1,,0,1
10799_1_1,18:25:00,18:25:00,186,2,,1,0
10676_0_0,09:30:00,09:30:00,176,1,,0,1
10676_0_0,10:15:00,10:15:00,168,2,,0,0
10676_0_0,10:45:00,10:45:00,9323,3,,1,0
10676_0_1,10:30:00,10:30:00,168,1,,0,1
10676_0_1,11:00:00,11:00:00,9323,2,,0,0
10676_0_1,11:40:00,11:40:00,176,3,,1,0
10676_1_0,12:00:00,12:00:00,176,1,,0,1
10676_1_0,12:55:00,12:55:00,168,2,,0,0
10676_1_0,13:10:00,13:10:00,9323,3,,0,0
10676_1_1,12:55:00,12:55:00,168,1,,0,0
10676_1_1,13:10:00,13:10:00,9323,2,,0,0
10676_1_1,13:50:00,13:50:00,176,3,,1,0
10676_2_0,15:00:00,15:00:00,176,1,,0,1
10676_2_0,15:55:00,15:55:00,168,2,,0,0
10676_2_0,16:10:00,16:10:00,9323,3,,1,0
10676_2_1,16:00:00,16:00:00,168,1,,0,1
10676_2_1,16:15:00,16:15:00,9323,2,,0,0
10676_2_1,16:55:00,16:55:00,176,3,,1,0
10676_3_0,17:00:00,17:00:00,176,1,,0,1
10676_3_0,17:55:00,17:55:00,168,2,,0,0
10676_3_0,18:10:00,18:10:00,9323,3,,1,0
