route_id,direction_id,direction
76309,1,Northbound
76309,0,Southbound
74463,1,Eastbound
74463,0,Westbound
33306,1,Westbound
33306,0,Eastbound
33305,1,Westbound
33305,0,Eastbound
33304,1,Westbound
33304,0,Eastbound
16800,1,Northbound
16800,0,Southbound
16603,1,Eastbound
16603,0,Westbound
16602,1,Northbound
16602,0,Southbound
15649,1,Northbound
15649,0,Southbound
15626,1,Eastbound
15626,0,Westbound
15625,1,Northbound
15625,0,Southbound
15624,1,Northbound
15624,0,Southbound
15283,1,Outbound
15283,0,Inbound
15281,1,Northbound
15281,0,Southbound
15280,1,Northbound
15280,0,Southbound
15279,1,Northbound
15279,0,Southbound
15278,1,Northbound
15278,0,Southbound
15277,1,Eastbound
15277,0,Westbound
15276,1,Northbound
15276,0,Southbound
15274,1,Northbound
15274,0,Southbound
15273,1,Outbound
15273,0,Inbound
15272,0,Southbound
15269,1,Northbound
15269,0,Southbound
15268,1,Northbound
15268,0,Southbound
15267,1,Southbound
15267,0,Northbound
15266,1,Southbound
15266,0,Northbound
15265,1,Southbound
15265,0,Northbound
15263,1,Southbound
15263,0,Northbound
15261,1,Southbound
15261,0,Northbound
15260,1,Southbound
15260,0,Northbound
15255,1,Eastbound
15255,0,Westbound
15253,1,Northbound
15253,0,Southbound
15251,1,Northbound
15251,0,Southbound
15249,1,Northbound
15249,0,Southbound
15246,1,Northbound
15246,0,Southbound
15232,1,Northbound
15232,0,Southbound
15231,0,Southbound
6182,1,Northbound
6182,0,Southbound
4716,1,Northbound
4716,0,Southbound
4715,1,Northbound
4715,0,Southbound
4712,1,Eastbound
4712,0,Westbound
