runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_69952_b_81625_d_127,177726,1,1,t_5749104_b_81625_tn_0,2629086,t_5749114_b_81625_tn_0,2629086
1000000,c_69952_b_81625_d_127,177735,10,1,t_5749064_b_81625_tn_0,835741,t_5749058_b_81625_tn_0,835741
1100000,c_69952_b_81625_d_127,177736,11,1,t_5749063_b_81625_tn_0,835741,t_5749068_b_81625_tn_0,835741
1200000,c_69952_b_81625_d_127,177737,12,1,t_5749078_b_81625_tn_0,835812,t_5749086_b_81625_tn_0,835741
1300000,c_69952_b_81625_d_127,177738,13,1,t_5749056_b_81625_tn_0,2629086,t_5749070_b_81625_tn_0,835741
1400000,c_69952_b_81625_d_127,177739,14,1,t_5749079_b_81625_tn_0,835812,t_5749066_b_81625_tn_0,835741
1500000,c_69952_b_81625_d_127,177740,15,1,t_5749080_b_81625_tn_0,835812,t_5749095_b_81625_tn_0,2629086
1600000,c_69952_b_81625_d_127,177741,16,1,t_5749100_b_81625_tn_0,2629086,t_5749084_b_81625_tn_0,835741
1700000,c_69952_b_81625_d_127,177742,17,1,t_5749081_b_81625_tn_0,835812,t_5749085_b_81625_tn_0,835741
1800000,c_69952_b_81625_d_127,177743,18,1,t_5749053_b_81625_tn_0,2629086,t_5749107_b_81625_tn_0,2629086
1900000,c_69952_b_81625_d_127,177744,19,1,t_5749102_b_81625_tn_0,2629086,t_5749110_b_81625_tn_0,2629086
200000,c_69952_b_81625_d_127,177727,2,1,t_5749099_b_81625_tn_0,2629086,t_5749111_b_81625_tn_0,2629086
2000000,c_69952_b_81625_d_127,177745,20,1,t_5749103_b_81625_tn_0,2629086,t_5749113_b_81625_tn_0,2629086
2100000,c_69952_b_81625_d_127,177746,21,1,t_5749057_b_81625_tn_0,4211564,t_5749069_b_81625_tn_0,835741
300000,c_69952_b_81625_d_127,177728,3,1,t_5749071_b_81625_tn_0,835812,t_5749091_b_81625_tn_0,835812
400000,c_69952_b_81625_d_127,177729,4,1,t_5749072_b_81625_tn_0,835812,t_5749092_b_81625_tn_0,835812
500000,c_69952_b_81625_d_127,177730,5,1,t_5749098_b_81625_tn_0,2629086,t_5749106_b_81625_tn_0,2629086
600000,c_69952_b_81625_d_127,177731,6,1,t_5749059_b_81625_tn_0,835741,t_5749062_b_81625_tn_0,835812
700000,c_69952_b_81625_d_127,177732,7,1,t_5749101_b_81625_tn_0,2629086,t_5749115_b_81625_tn_0,2629086
800000,c_69952_b_81625_d_127,177733,8,1,t_5749073_b_81625_tn_0,835812,t_5749061_b_81625_tn_0,835812
900000,c_69952_b_81625_d_127,177734,9,1,t_5749065_b_81625_tn_0,835741,t_5749105_b_81625_tn_0,2629086
