stop_id,stop_city
2332649,Kirkland
2577942,Burnside
2624051,Milwaukee
3453535,Brandy Station
2332707,Jacksonville
2751696,Fair Oaks
2618021,Princeton
2578202,Town of Thompson
2428746,Kenosha
2619376,Town of Clarkstown
2576781,Evans Center
2332494,White Marsh
2577608,New York
2576779,Kennedy
2577662,Newburgh
2576761,Buffalo
2578185,Wyckoff
2577522,Prospect Plains
3475192,Village of Pewaukee
2580904,Town of Mamakating
2577840,Westfall Township
2619540,Alpine
2616192,Harrison
2616122,Town of Ramapo
2577298,Valley Cottage
2753582,Town of Blooming Grove
2577683,Southfields
2577549,Sunset Hill Garden
2577842,Palm Tree
2577826,Manhattan Community Board 4
2577648,Ladentown
2577461,Elizabeth
4211697,Los Angeles 
3475194,Nashotah
835753,Racine
2428738,Milwaukee
2577478,Elizabeth
3475143,Waukesha
2577714,Town of Mamakating
4211691,San Antonio
3475136,Waukesha
2582984,Manhattan Community Board 5
2577966,East Orange
2577805,Mahwah
2577426,Manhattan Community Board 5
4244534,New York
2577837,Milford Township
2577560,Franklin Park
2624029,West Bend
2578034,East Coldenham
2579592,Wyckoff
2577350,Montvale
2616151,Harrison
2332631,Katy
835757,Kenosha
2332695,Philadelphia
2577349,Samsondale
4212281,Milwaukee
2616148,White Plains
2577625,Manhattan Community Board 8
2577808,Oakland
2577696,Newburgh Junction
3476611,West Orange
2577775,Town of Thompson
4208622,Newark
2577927,South Fallsburg
2577312,Fort Lee
2577681,Town of Goshen
2577444,East Orange
2576782,Black Creek
2577979,Hillsdale Manor
2577448,East Orange
2579606,Town of Monroe
2624034,Milwaukee
2584295,Crystal Run Station
2619548,Town of Clarkstown
4211706,Niagara Falls
2577959,Tappan
2581573,Summitville
2576738,Fredonia
2577778,Town of Thompson
2577293,Chestnut Ridge
2577139,Manhattan Community Board 5
2577394,Tenafly
2577467,City of Orange
2734374,New York
2577724,Binghamton
2577307,Alpine
4211693,King of Prussia
3475165,Hartland
2578184,Wyckoff
2577904,New Brunswick
835777,Milwaukee
2577536,Manhattan Community Board 5
2576778,Pittsburgh
2577845,Manhattan Community Board 5
835883,Ives Grove
2428723,Racine
3475134,Waukesha
2618214,Appleton
2619542,Pearl River
2577403,Town of Orangetown
2616128,Town of Orangetown
835735,Milwaukee
2581606,East Honesdale
2332637,New Orleans
2616140,White Plains
2428748,Kenosha
2428749,Kenosha
2577352,Hillsdale Manor
2577936,Harris
2577758,East Coldenham
2577400,Closter
2616149,Harrison
2577655,Fort Montgomery
2615675,Midway Park
2577380,Teaneck Township
835739,Whitewater
2628769,Milwaukee
2577392,Demarest
2584298,East Chester
2619547,Pearl River
3475142,Waukesha
2579600,Wyckoff
2750962,New York
2579590,Wyckoff
2615676,Midway Park
2577491,Manhattan Community Board 4
2577294,Manhattan Community Board 5
2577138,Manhattan Community Board 1
835756,Village of Somers
2577636,Summitville
2577957,Englewood
2577548,Franklin Park
2577692,Manhattan Community Board 1
2577569,Manhattan Community Board 5
2577310,Englewood Cliffs
2615661,Kiryas Joel
2577385,Blauvelt
2734375,New York
2577457,Newark
4208625,Newark
2577757,East Coldenham
2577440,Hutton Park
2577695,Town of Monroe
4211692,Houston
2577679,East Chester
2577793,Manhattan Community Board 5
4212280,Milwaukee
835746,Milwaukee
2577811,Wyckoff
2577829,New Hampton
2577667,Ho-Ho-Kus
3453523,Danville
2332663,Montgomery
2740417,Conroe
3453528,Altavista
2577368,Park Ridge
2581572,Wawarsing
2577609,Manhattan Community Board 6
2577948,Manhattan Community Board 8
2577824,Manhattan Community Board 5
2332573,Manhattan Community Board 5
4211694,Memphis
2576748,Burnhams
2624059,Milwaukee
2428734,Racine
2751694,Philadelphia
2576753,Machias Junction
2332560,Richmond
2428744,Kenosha
2332555,Mobile
2577680,Town of Goshen
2578165,Town of Haverstraw
2577386,Blauvelt
2332654,White Marsh
2332557,Elizabeth
2578194,Oakland
2576803,Wanakah
2428725,Racine
2577320,Englewood Cliffs
2578216,East Chester
2580901,Thompsonville
2577747,Mechanicstown
2577813,Wyckoff
2577759,East Coldenham
2576735,Fredonia
2577398,Cresskill
2577351,Park Ridge
2624058,Milwaukee
2577659,Highland Mills
2577613,New York
2578153,Mountainville
2577153,Town of Clarkstown
2577791,New York
2577682,East Chester
2576722,Cadiz
2624056,Milwaukee
2629102,New York
2578182,Wyckoff
2577402,Town of Orangetown
2577626,Manhattan Community Board 6
2577792,Central Valley
2619539,Alpine
2576791,Randolph
2577661,Vails Gate
2578223,Town of Thompson
2581595,Wyckoff
2577653,Tomkins Cove
2576780,Pittsburgh
2577783,Harris
2616146,White Plains
2750790,Sacramento
2577348,Durant
3453537,Gainesville
2577650,Town of Haverstraw
3475166,Brookfield
2577545,New Brunswick
