trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1460589_b_30263_tn_0,05:30:00,05:30:00,2577828,1,,0,1,0,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,05:44:00,05:44:00,2577680,2,,0,1,14526.940324922429,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,05:51:00,05:51:00,2577679,3,,0,1,22230.121635002633,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,05:58:00,05:58:00,2577842,4,,0,1,30621.750917638117,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,06:06:00,06:06:00,2577843,5,,0,1,38460.15429779002,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,06:42:00,06:42:00,2577341,6,,0,1,79427.00755899178,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:12:00,07:12:00,2616130,7,,1,0,91171.71301290655,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:13:00,07:13:00,2616132,8,,1,0,92192.04097412684,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:14:00,07:14:00,2616157,9,,1,0,92460.59484298794,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:15:00,07:15:00,2616156,10,,1,0,93648.5658816362,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:16:00,07:16:00,2616193,11,,1,0,93945.11746686931,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:23:00,07:23:00,2616134,12,,1,0,99765.63658749072,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:26:00,07:26:00,2577119,13,,1,0,100970.12993015852,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:28:00,07:28:00,2616141,14,,1,0,101581.74937317205,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:30:00,07:30:00,2616140,15,,1,0,102154.78130552589,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:31:00,07:31:00,2616143,16,,1,0,102761.69783732954,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:35:00,07:35:00,2616144,17,,1,0,103912.59363677933,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:36:00,07:36:00,2616145,18,,1,0,104988.35215042546,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:37:00,07:37:00,2616146,19,,1,0,105304.190323425,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:38:00,07:38:00,2616147,20,,1,0,105893.10538154213,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:39:00,07:39:00,2616148,21,,1,0,106873.16425479647,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:40:00,07:40:00,2616150,22,,1,0,107469.49652713469,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:45:00,07:45:00,2616151,23,,1,0,108885.76497924501,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:48:00,07:48:00,2616149,24,,1,0,110992.77883591715,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:50:00,07:50:00,2616153,25,,1,0,111941.2615170796,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:51:00,07:51:00,2616152,26,,1,0,112239.50687944266,1,,,,,1,1,,,,,,,,,,,
t_1460589_b_30263_tn_0,07:54:00,07:54:00,2616192,27,,1,0,113813.03993570975,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,06:45:00,06:45:00,2577828,1,,0,1,0,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,06:54:00,06:54:00,2577680,2,,0,1,14526.940324922429,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,07:04:00,07:04:00,2577679,3,,0,1,22230.121635002633,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,07:10:00,07:10:00,2577842,4,,0,1,30621.750917638117,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,07:19:00,07:19:00,2577843,5,,0,1,38460.15429779002,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:04:00,08:04:00,2577341,6,,0,1,79427.00755899178,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:16:00,08:16:00,2616130,7,,1,0,91171.71301290655,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:17:00,08:17:00,2616132,8,,1,0,92192.04097412684,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:18:00,08:18:00,2616157,9,,1,0,92460.59484298794,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:19:00,08:19:00,2616156,10,,1,0,93648.5658816362,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:20:00,08:20:00,2616193,11,,1,0,93945.11746686931,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:27:00,08:27:00,2616134,12,,1,0,99765.63658749072,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:30:00,08:30:00,2577119,13,,1,0,100970.12993015852,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:32:00,08:32:00,2616141,14,,1,0,101581.74937317205,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:34:00,08:34:00,2616140,15,,1,0,102154.78130552589,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:35:00,08:35:00,2616143,16,,1,0,102761.69783732954,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:39:00,08:39:00,2616144,17,,1,0,103912.59363677933,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:40:00,08:40:00,2616145,18,,1,0,104988.35215042546,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:41:00,08:41:00,2616146,19,,1,0,105304.190323425,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:42:00,08:42:00,2616147,20,,1,0,105893.10538154213,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:43:00,08:43:00,2616148,21,,1,0,106873.16425479647,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:44:00,08:44:00,2616150,22,,1,0,107469.49652713469,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:49:00,08:49:00,2616151,23,,1,0,108885.76497924501,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:52:00,08:52:00,2616149,24,,1,0,110992.77883591715,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:54:00,08:54:00,2616153,25,,1,0,111941.2615170796,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:55:00,08:55:00,2616152,26,,1,0,112239.50687944266,1,,,,,1,1,,,,,,,,,,,
t_1460590_b_30263_tn_0,08:58:00,08:58:00,2616192,27,,1,0,113813.03993570975,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,05:00:00,05:00:00,2577828,1,,0,1,0,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,05:12:00,05:12:00,2577680,2,,0,1,14526.940324922429,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,05:19:00,05:19:00,2577679,3,,0,1,22230.121635002633,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,05:26:00,05:26:00,2577842,4,,0,1,30621.750917638117,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,05:36:00,05:36:00,2577843,5,,0,1,38460.15429779002,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:05:00,06:05:00,2616130,6,,1,0,89260.68639910263,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:06:00,06:06:00,2616132,7,,1,0,90281.01436032292,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:07:00,06:07:00,2616157,8,,1,0,90549.56822918402,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:08:00,06:08:00,2616156,9,,1,0,91737.53926783228,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:09:00,06:09:00,2616193,10,,1,0,92034.0908530654,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:17:00,06:17:00,2616134,11,,1,0,97854.6099736868,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:20:00,06:20:00,2577119,12,,1,0,99059.10331635462,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:22:00,06:22:00,2616141,13,,1,0,99670.72275936815,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:23:00,06:23:00,2616140,14,,1,0,100243.75469172199,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:24:00,06:24:00,2616143,15,,1,0,100850.67122352564,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:28:00,06:28:00,2616144,16,,1,0,102001.56702297543,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:29:00,06:29:00,2616145,17,,1,0,103077.32553662156,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:30:00,06:30:00,2616146,18,,1,0,103393.1637096211,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:31:00,06:31:00,2616147,19,,1,0,103982.07876773823,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:32:00,06:32:00,2616148,20,,1,0,104962.13764099257,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:32:00,06:32:00,2616150,21,,1,0,105558.46991333079,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:37:00,06:37:00,2616151,22,,1,0,106974.73836544111,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:42:00,06:42:00,2616149,23,,1,0,109081.75222211325,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:44:00,06:44:00,2616153,24,,1,0,110030.2349032757,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:45:00,06:45:00,2616152,25,,1,0,110328.48026563876,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:48:00,06:48:00,2616192,26,,1,0,111902.01332192699,1,,,,,1,1,,,,,,,,,,,
t_1460591_b_30263_tn_0,06:58:00,06:58:00,2616154,27,,1,0,124267.58094711973,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,06:11:00,06:11:00,2577828,1,,0,1,0,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,06:25:00,06:25:00,2577680,2,,0,1,14526.940324922429,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,06:32:00,06:32:00,2577679,3,,0,1,22230.121635002633,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,06:38:00,06:38:00,2577842,4,,0,1,30621.750917638117,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,06:47:00,06:47:00,2577843,5,,0,1,38460.15429779002,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:42:00,07:42:00,2616130,6,,1,0,89260.68639910263,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:43:00,07:43:00,2616132,7,,1,0,90281.01436032292,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:44:00,07:44:00,2616157,8,,1,0,90549.56822918402,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:45:00,07:45:00,2616156,9,,1,0,91737.53926783228,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:46:00,07:46:00,2616193,10,,1,0,92034.0908530654,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:53:00,07:53:00,2616134,11,,1,0,97854.6099736868,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:56:00,07:56:00,2577119,12,,1,0,99059.10331635462,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,07:58:00,07:58:00,2616141,13,,1,0,99670.72275936815,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:00:00,08:00:00,2616140,14,,1,0,100243.75469172199,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:01:00,08:01:00,2616143,15,,1,0,100850.67122352564,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:05:00,08:05:00,2616144,16,,1,0,102001.56702297543,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:06:00,08:06:00,2616145,17,,1,0,103077.32553662156,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:07:00,08:07:00,2616146,18,,1,0,103393.1637096211,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:08:00,08:08:00,2616147,19,,1,0,103982.07876773823,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:09:00,08:09:00,2616148,20,,1,0,104962.13764099257,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:10:00,08:10:00,2616150,21,,1,0,105558.46991333079,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:15:00,08:15:00,2616151,22,,1,0,106974.73836544111,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:18:00,08:18:00,2616149,23,,1,0,109081.75222211325,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:20:00,08:20:00,2616153,24,,1,0,110030.2349032757,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:21:00,08:21:00,2616152,25,,1,0,110328.48026563876,1,,,,,1,1,,,,,,,,,,,
t_1460592_b_30263_tn_0,08:24:00,08:24:00,2616192,26,,1,0,111902.01332194972,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:00:00,15:00:00,2579579,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:08:00,15:08:00,2616121,2,,0,0,3544.953234226551,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:26:00,15:26:00,2577341,3,,0,1,19145.781459901384,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:29:00,15:29:00,2577395,4,,0,0,20866.409484492528,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:31:00,15:31:00,2616123,5,,0,0,23366.184107066947,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:35:00,15:35:00,2616126,6,,0,0,24666.538650256454,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,15:38:00,15:38:00,2616127,7,,0,0,25702.4288579462,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,16:03:00,16:03:00,2616134,8,,1,0,41790.50010717599,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,16:06:00,16:06:00,2577119,9,,1,0,42994.993449843896,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,16:09:00,16:09:00,2616140,10,,1,0,44179.64344524124,1,,,,,1,1,,,,,,,,,,,
t_1460593_b_30263_tn_0,16:11:00,16:11:00,2616142,11,,1,0,44752.63389388002,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,11:18:00,11:18:00,2579579,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,11:26:00,11:26:00,2616121,2,,0,0,3544.953234226551,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,11:38:00,11:38:00,2577291,3,,0,0,9875.014188657458,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,11:43:00,11:43:00,2577122,4,,1,0,11728.75557949033,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,11:53:00,11:53:00,2577341,5,,0,1,19526.110095512013,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,11:56:00,11:56:00,2577395,6,,0,0,21243.967191012594,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:00:00,12:00:00,2616123,7,,0,0,23743.741813587014,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:04:00,12:04:00,2616126,8,,0,0,25044.09635677652,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:07:00,12:07:00,2616127,9,,0,0,26079.986564466268,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:27:00,12:27:00,2616129,10,,0,0,34766.53858361577,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:30:00,12:30:00,2616131,11,,0,0,36768.85845398464,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:49:00,12:49:00,2616134,12,,1,0,47110.83169039127,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:52:00,12:52:00,2577119,13,,1,0,48315.325033059176,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:55:00,12:55:00,2616140,14,,1,0,49499.97502845652,1,,,,,1,1,,,,,,,,,,,
t_1460594_b_30263_tn_0,12:57:00,12:57:00,2616142,15,,1,0,50072.96547714998,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,07:10:00,07:10:00,2577828,1,,0,1,0,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,07:22:00,07:22:00,2577680,2,,0,1,14526.940324922429,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,07:29:00,07:29:00,2577679,3,,0,1,22230.121635002633,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,07:35:00,07:35:00,2577842,4,,0,1,30621.750917638117,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,07:44:00,07:44:00,2577843,5,,0,1,38460.15429779002,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:05:00,08:05:00,2577122,6,,1,0,77227.81450803315,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:41:00,08:41:00,2616130,7,,1,0,94859.31296179237,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:42:00,08:42:00,2616132,8,,1,0,95879.64092301266,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:43:00,08:43:00,2616157,9,,1,0,96148.19479187376,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:44:00,08:44:00,2616156,10,,1,0,97336.16583052202,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:45:00,08:45:00,2616193,11,,1,0,97632.71741575513,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:52:00,08:52:00,2616134,12,,1,0,103453.23653637654,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:55:00,08:55:00,2577119,13,,1,0,104657.72987904435,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:57:00,08:57:00,2616141,14,,1,0,105269.34932205787,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,08:59:00,08:59:00,2616140,15,,1,0,105842.38125441171,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:00:00,09:00:00,2616143,16,,1,0,106449.29778621536,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:04:00,09:04:00,2616144,17,,1,0,107600.19358566515,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:05:00,09:05:00,2616145,18,,1,0,108675.95209931128,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:06:00,09:06:00,2616146,19,,1,0,108991.79027231083,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:07:00,09:07:00,2616147,20,,1,0,109580.70533042795,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:08:00,09:08:00,2616148,21,,1,0,110560.7642036823,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:09:00,09:09:00,2616150,22,,1,0,111157.09647602051,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:13:00,09:13:00,2616151,23,,1,0,112573.36492813083,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:17:00,09:17:00,2616149,24,,1,0,114680.37878480298,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:19:00,09:19:00,2616153,25,,1,0,115628.86146596543,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:20:00,09:20:00,2616152,26,,1,0,115927.10682832848,1,,,,,1,1,,,,,,,,,,,
t_1460595_b_30263_tn_0,09:23:00,09:23:00,2616192,27,,1,0,117500.6398846798,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,12:18:00,12:18:00,2579579,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,12:26:00,12:26:00,2616121,2,,0,0,3544.953234226551,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,12:38:00,12:38:00,2577291,3,,0,0,9875.014188657458,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,12:43:00,12:43:00,2577122,4,,1,0,11728.75557949033,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,12:53:00,12:53:00,2577341,5,,0,1,19526.110095512013,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,12:56:00,12:56:00,2577395,6,,0,0,21243.967191012594,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:00:00,13:00:00,2616123,7,,0,0,23743.741813587014,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:04:00,13:04:00,2616126,8,,0,0,25044.09635677652,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:07:00,13:07:00,2616127,9,,0,0,26079.986564466268,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:27:00,13:27:00,2616129,10,,0,0,34766.53858361577,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:30:00,13:30:00,2616131,11,,0,0,36768.85845398464,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:49:00,13:49:00,2616134,12,,1,0,47110.83169039127,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:52:00,13:52:00,2577119,13,,1,0,48315.325033059176,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:55:00,13:55:00,2616140,14,,1,0,49499.97502845652,1,,,,,1,1,,,,,,,,,,,
t_1460596_b_30263_tn_0,13:57:00,13:57:00,2616142,15,,1,0,50072.96547714998,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:00:00,16:00:00,2579579,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:08:00,16:08:00,2616121,2,,0,0,3544.953234226551,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:26:00,16:26:00,2577341,3,,0,1,19145.781459901384,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:29:00,16:29:00,2577395,4,,0,0,20866.409484492528,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:31:00,16:31:00,2616123,5,,0,0,23366.184107066947,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:35:00,16:35:00,2616126,6,,0,0,24666.538650256454,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:38:00,16:38:00,2616127,7,,0,0,25702.4288579462,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,16:58:00,16:58:00,2616134,8,,1,0,41790.50010717599,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,17:01:00,17:01:00,2577119,9,,1,0,42994.993449843896,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,17:04:00,17:04:00,2616140,10,,1,0,44179.64344524124,1,,,,,1,1,,,,,,,,,,,
t_1460597_b_30263_tn_0,17:06:00,17:06:00,2616142,11,,1,0,44752.63389388002,1,,,,,1,1,,,,,,,,,,,
t_1460598_b_30263_tn_0,14:25:00,14:25:00,2579579,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460598_b_30263_tn_0,14:33:00,14:33:00,2616121,2,,0,0,3544.953234226551,1,,,,,1,1,,,,,,,,,,,
t_1460598_b_30263_tn_0,14:51:00,14:51:00,2577341,3,,0,1,19145.781459901384,1,,,,,1,1,,,,,,,,,,,
