shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R1,41.19888,-74.62801,1
R1,41.199037,-74.628182,11
R1,41.198712,-74.62874,21
R1,41.198853,-74.628998,31
R1,41.20065,-74.62644,41
R1,41.20354,-74.62371,51
R1,41.2051,-74.62176,61
R1,41.20535,-74.62032,71
R1,41.20525,-74.61936,81
R1,41.20483,-74.61605,91
R1,41.20503,-74.61439,101
R1,41.20748,-74.61025,111
R1,41.20777,-74.60937,121
R1,41.20797,-74.60789,131
R1,41.20808,-74.60751,141
R1,41.20803,-74.60696,151
R1,41.20904,-74.60567,161
R1,41.20745,-74.60307,171
R1,41.20448,-74.59877,181
R1,41.20422,-74.59893,191
R1,41.20422,-74.59893,201
R1,41.20298,-74.59939,211
R1,41.20208,-74.59996,221
R1,41.20269,-74.6007,231
R1,41.20312,-74.60114,241
R1,41.20297,-74.60159,251
R1,41.20228,-74.60111,261
R1,41.20204,-74.60089,271
R1,41.19957,-74.5978,281
R1,41.19894,-74.59679,291
R1,41.19894,-74.59667,301
R1,41.19868,-74.5961,311
R1,41.19829,-74.59503,321
R1,41.19808,-74.59459,331
R1,41.19702,-74.59311,341
R1,41.19434,-74.58898,351
R1,41.19361,-74.58797,361
R1,41.19318,-74.58752,371
R1,41.19277,-74.58721,381
R1,41.19233,-74.58699,391
R1,41.19188,-74.58687,401
R1,41.19088,-74.58676,411
R1,41.18813,-74.58665,421
R1,41.1876,-74.58671,431
R1,41.18715,-74.58686,441
R1,41.18648,-74.58738,451
R1,41.18648,-74.58738,461
R1,41.18463,-74.58891,471
R1,41.18394,-74.58934,481
R1,41.18231,-74.59022,491
R1,41.18154,-74.59037,501
R1,41.18029,-74.59001,511
R1,41.17982,-74.58994,521
R1,41.17663,-74.59008,531
R1,41.17507,-74.58927,541
R1,41.17177,-74.58741,551
R1,41.17081,-74.58698,561
R1,41.17002,-74.58686,571
R1,41.16699,-74.58671,581
R1,41.16659,-74.58667,591
R1,41.16596,-74.5865,601
R1,41.16528,-74.58619,611
R1,41.16426,-74.5853,621
R1,41.16392,-74.58491,631
R1,41.16364,-74.58442,641
R1,41.16347,-74.58394,651
R1,41.163,-74.58159,661
R1,41.1628,-74.58107,671
R1,41.1625,-74.58057,681
R1,41.16209,-74.5801,691
R1,41.16156,-74.57972,701
R1,41.158,-74.57813,711
R1,41.15444,-74.57662,721
R1,41.15431,-74.57706,731
R1,41.15431,-74.57706,741
R1,41.15414,-74.57768,751
R1,41.15318,-74.57723,761
R1,41.15236,-74.58265,771
R1,41.15169,-74.58625,781
R1,41.15162,-74.58736,791
R1,41.15165,-74.58814,801
R1,41.15201,-74.59039,811
R1,41.15199,-74.59129,821
R1,41.15175,-74.59234,831
R1,41.15156,-74.59287,841
R1,41.15126,-74.59341,851
R1,41.15072,-74.59405,861
R1,41.15013,-74.59449,871
R1,41.14836,-74.59519,881
R1,41.1479,-74.59543,891
R1,41.14596,-74.59673,901
R1,41.14486,-74.59756,911
R1,41.143679,-74.598649,921
R1,41.14485,-74.60084,931
R1,41.14582,-74.60204,941
R1,41.14583,-74.6027,951
R1,41.14559,-74.603,961
R1,41.14083,-74.60578,971
R1,41.13888,-74.60833,981
R1,41.13916,-74.60902,991
R1,41.13888,-74.60833,1001
R1,41.14083,-74.60578,1011
R1,41.14559,-74.603,1021
R1,41.14583,-74.6027,1031
R1,41.14582,-74.60204,1041
R1,41.14485,-74.60084,1051
R1,41.143679,-74.598649,1061
R1,41.14486,-74.59756,1071
R1,41.14596,-74.59673,1081
R1,41.1479,-74.59543,1091
R1,41.14836,-74.59519,1101
R1,41.15013,-74.59449,1111
R1,41.15072,-74.59405,1121
R1,41.15126,-74.59341,1131
R1,41.15156,-74.59287,1141
