trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
SB_T01,05:00:00,05:00:00,8,1,,,
SB_T01,05:08:00,05:08:00,9,2,,,
SB_T01,05:13:00,05:13:00,10,3,,,
SB_T01,05:14:00,05:14:00,11,4,,,
SB_T01,05:20:00,05:20:00,12,5,,,
SB_T01,05:22:00,05:22:00,13,6,,,
SB_T01,05:23:00,05:23:00,14,7,,,
SB_T01,05:31:00,05:31:00,15,8,,,
SB_T01,05:37:00,05:37:00,16,9,,,
SB_T01,05:42:00,05:42:00,17,10,,,
SB_T01,05:54:00,05:54:00,18,11,,,
SB_T01,06:02:00,06:02:00,19,12,,,
SB_T01,06:08:00,06:08:00,20,13,,,
SB_T01,06:11:00,06:11:00,21,14,,,
SB_T01,06:13:00,06:13:00,22,15,,,
SB_T01,06:15:00,06:15:00,23,16,,,
SB_T01,06:18:00,06:18:00,24,17,,,
SB_T01,06:20:00,06:20:00,25,18,,,
SB_T01,06:22:00,06:22:00,26,19,,,
SB_T01,06:24:00,06:24:00,27,20,,,
SB_T02,05:50:00,05:50:00,2,1,,,
SB_T02,05:53:00,05:53:00,3,2,,,
SB_T02,05:56:00,05:56:00,4,3,,,
SB_T02,05:58:00,05:58:00,5,4,,,
SB_T02,06:03:00,06:03:00,6,5,,,
SB_T02,06:09:00,06:09:00,7,6,,,
SB_T02,06:15:00,06:15:00,8,7,,,
SB_T02,06:23:00,06:23:00,9,8,,,
SB_T02,06:28:00,06:28:00,10,9,,,
SB_T02,06:29:00,06:29:00,11,10,,,
SB_T02,06:35:00,06:35:00,12,11,,,
SB_T02,06:37:00,06:37:00,13,12,,,
SB_T02,06:38:00,06:38:00,14,13,,,
SB_T02,06:46:00,06:46:00,15,14,,,
SB_T02,06:52:00,06:52:00,16,15,,,
SB_T02,06:57:00,06:57:00,17,16,,,
SB_T02,07:09:00,07:09:00,18,17,,,
SB_T02,07:17:00,07:17:00,19,18,,,
SB_T02,07:23:00,07:23:00,20,19,,,
SB_T02,07:26:00,07:26:00,21,20,,,
SB_T02,07:28:00,07:28:00,22,21,,,
SB_T02,07:30:00,07:30:00,23,22,,,
SB_T02,07:33:00,07:33:00,24,23,,,
SB_T02,07:35:00,07:35:00,25,24,,,
SB_T02,07:37:00,07:37:00,26,25,,,
SB_T02,07:39:00,07:39:00,27,26,,,
SB_T03,07:05:00,07:05:00,2,1,,,
SB_T03,07:08:00,07:08:00,3,2,,,
SB_T03,07:11:00,07:11:00,4,3,,,
SB_T03,07:13:00,07:13:00,5,4,,,
SB_T03,07:18:00,07:18:00,6,5,,,
SB_T03,07:24:00,07:24:00,7,6,,,
SB_T03,07:30:00,07:30:00,8,7,,,
SB_T03,07:38:00,07:38:00,9,8,,,
SB_T03,07:43:00,07:43:00,10,9,,,
SB_T03,07:44:00,07:44:00,11,10,,,
SB_T03,07:50:00,07:50:00,12,11,,,
SB_T03,07:52:00,07:52:00,13,12,,,
SB_T03,07:53:00,07:53:00,14,13,,,
SB_T03,08:01:00,08:01:00,15,14,,,
SB_T03,08:07:00,08:07:00,16,15,,,
SB_T03,08:12:00,08:12:00,17,16,,,
SB_T03,08:24:00,08:24:00,18,17,,,
SB_T03,08:32:00,08:32:00,19,18,,,
SB_T03,08:38:00,08:38:00,20,19,,,
SB_T03,08:41:00,08:41:00,21,20,,,
SB_T03,08:43:00,08:43:00,22,21,,,
SB_T03,08:45:00,08:45:00,23,22,,,
SB_T03,08:48:00,08:48:00,24,23,,,
SB_T03,08:50:00,08:50:00,25,24,,,
SB_T03,08:52:00,08:52:00,26,25,,,
SB_T03,08:54:00,08:54:00,27,26,,,
SB_T04,08:20:00,08:20:00,2,1,,,
SB_T04,08:23:00,08:23:00,3,2,,,
SB_T04,08:26:00,08:26:00,4,3,,,
SB_T04,08:28:00,08:28:00,5,4,,,
SB_T04,08:33:00,08:33:00,6,5,,,
SB_T04,08:39:00,08:39:00,7,6,,,
SB_T04,08:45:00,08:45:00,8,7,,,
SB_T04,08:53:00,08:53:00,9,8,,,
SB_T04,08:58:00,08:58:00,10,9,,,
SB_T04,08:59:00,08:59:00,11,10,,,
SB_T04,09:05:00,09:05:00,12,11,,,
SB_T04,09:07:00,09:07:00,13,12,,,
SB_T04,09:08:00,09:08:00,14,13,,,
SB_T04,09:16:00,09:16:00,15,14,,,
