cluster,geometry,totalPickUp,totalDropOff,stopTimeCount,stop_lon,stop_lat,nearest_distance
0,POINT (-74.42825 40.783688),0,0,18,-74.42825,40.783688,216.88037930960883
1,POINT (-73.72873911097273 41.02111856738158),5,4,9,-73.72873911097273,41.02111856738158,171.5295465288631
2,POINT (-73.71944421927907 41.02055794187809),5,4,9,-73.71944421927907,41.02055794187809,617.1395127266957
3,POINT (-73.99593369455059 40.75877965706118),0,2,2,-73.99593369455059,40.75877965706118,256.13005243136627
4,POINT (-74.027243 40.17983900000001),0,0,41,-74.027243,40.17983900000001,139.1552123698916
5,POINT (-74.37042249997853 40.79089350003535),0,0,205,-74.37042249997853,40.79089350003535,270.22612573049435
6,POINT (-73.72697032235361 41.016466242845574),5,4,9,-73.72697032235361,41.016466242845574,500.94004081275034
7,POINT (-73.8622891483324 41.0648403533738),0,0,2,-73.8622891483324,41.0648403533738,124.05457991860602
8,POINT (-74.132811 40.920018999999996),0,0,102,-74.132811,40.920018999999996,257.40590096725384
9,POINT (-74.139562 40.92074),0,0,102,-74.139562,40.92074,146.94053214282135
10,POINT (-74.137694 40.920517999999994),0,0,102,-74.137694,40.920517999999994,159.35943958885272
11,POINT (-74.135832 40.92029899999999),0,0,102,-74.135832,40.92029899999999,159.35943958885272
12,POINT (-74.37001649990631 40.788483000030716),0,0,205,-74.37001649990631,40.788483000030716,270.22612573049435
13,POINT (-74.19162299963224 40.7425935000533),0,0,844,-74.19162299963224,40.7425935000533,161.79783059075092
14,POINT (-74.194153 40.74348),0,0,615,-74.194153,40.74348,224.2492209460684
15,POINT (-74.187372 40.74137),0,0,307,-74.187372,40.74137,148.54355376689733
16,POINT (-74.19904299841062 40.74482400102938),0,0,510,-74.19904299841062,40.74482400102938,216.21508772243888
17,POINT (-74.196593 40.744268999999996),0,0,615,-74.196593,40.744268999999996,216.21508772243888
18,POINT (-74.2043974997241 40.73982900018109),0,0,68,-74.2043974997241,40.73982900018109,119.61481280183297
19,POINT (-74.205773 40.740079),0,0,34,-74.205773,40.740079,119.61481280183297
20,POINT (-74.208182 40.74071000000001),0,0,68,-74.208182,40.74071000000001,215.49549638689317
21,POINT (-74.02636749907039 40.752928500148215),0,0,1621,-74.02636749907039,40.752928500148215,171.65429249416127
22,POINT (-74.02822 40.753558999999996),0,0,531,-74.02822,40.753558999999996,171.65429249416127
23,POINT (-88.98934 42.49014),0,0,30,-88.98934,42.49014,24682.253834093728
24,POINT (-74.19080866251197 40.734875335470996),0,0,1644,-74.19080866251197,40.734875335470996,127.67967806102786
25,POINT (-74.21349749959847 40.7380335007056),0,0,1190,-74.21349749959847,40.7380335007056,203.83194805617313
26,POINT (-74.19840599938188 40.73475900042556),0,0,665,-74.19840599938188,40.73475900042556,130.95008605774012
27,POINT (-74.195842498607 40.73418800125514),0,0,665,-74.195842498607,40.73418800125514,118.44449832631778
28,POINT (-74.15471149895885 40.91513900014393),6,9,494,-74.15471149895885,40.91513900014393,170.72031058423232
29,POINT (-74.15894650071274 40.915507000119455),6,0,311,-74.15894650071274,40.915507000119455,283.14693256253355
30,POINT (-74.2024419999642 40.735580000026786),0,0,800,-74.2024419999642,40.735580000026786,142.63368395428438
31,POINT (-74.20531 40.736236999999996),0,0,665,-74.20531,40.736236999999996,203.78011974645455
32,POINT (-74.20762300000001 40.736749999999994),0,0,665,-74.20762300000001,40.736749999999994,203.78011974645455
33,POINT (-74.21060499974067 40.73752875172371),0,0,1065,-74.21060499974067,40.73752875172371,187.36925310392726
34,POINT (-74.19991300000001 40.735029),0,0,665,-74.19991300000001,40.735029,130.95008605774012
35,POINT (-74.166392 40.916079),0,0,42,-74.166392,40.916079,126.53058136517053
36,POINT (-74.1635684995253 40.91569350005159),6,0,311,-74.1635684995253,40.91569350005159,162.067951819665
37,POINT (-74.422141 40.77162799999999),0,0,9,-74.422141,40.77162799999999,325.8812584342048
38,POINT (-74.41519000000001 40.778109),0,0,9,-74.41519000000001,40.778109,292.92718407309604
39,POINT (-74.214561 40.734127),0,0,11,-74.214561,40.734127,141.57671861076165
40,POINT (-74.22825849936369 40.73897350128408),0,0,519,-74.22825849936369,40.73897350128408,225.73448690505793
41,POINT (-74.196691 40.73022),0,0,202,-74.196691,40.73022,178.19499904594153
42,POINT (-74.19252 40.729318),0,0,135,-74.19252,40.729318,189.21821071771444
43,POINT (-74.221981 40.737438),0,0,519,-74.221981,40.737438,154.30287683540482
44,POINT (-74.21889674668398 40.73611900131735),0,0,1139,-74.21889674668398,40.73611900131735,288.58618022388026
45,POINT (-74.037503 40.169179),0,0,49,-74.037503,40.169179,365.91524483716
46,POINT (-74.20202650140072 40.7317430003753),0,9,449,-74.20202650140072,40.7317430003753,172.04367977650173
47,POINT (-74.232562 40.74004899999999),0,0,519,-74.232562,40.74004899999999,148.79330070855306
48,POINT (-74.198931 40.730698999999994),0,0,135,-74.198931,40.730698999999994,196.80351417354169
49,POINT (-74.194633 40.729877),0,0,68,-74.194633,40.729877,178.19499904594153
50,POINT (-74.046621 40.168459),0,0,49,-74.046621,40.168459,421.1303845322647
51,POINT (-74.206761 40.73237899999999),0,0,11,-74.206761,40.73237899999999,156.91521326847806
52,POINT (-74.208662 40.73279800000001),0,0,11,-74.208662,40.73279800000001,167.40066486892502
