ActualBusStop,PredictedBusStop,Error,PopulationSum,HospitalSum,ShoppingMalSum,pickUpSum,dropOffSum,stopTimeSum,radius(miles),radius(meters),centroid,lon,lat
4.0,1.19,2.81,1357,0.0,0.0,0.0,0.0,165.0,0.45,724.72,POINT (-75.51535945722846 39.655112136498396),-75.515,39.655
1.0,0.46,0.54,393,0.0,0.0,0.0,0.0,39.0,0.45,724.72,POINT (-75.50367607000304 39.62493069491037),-75.504,39.625
3.0,0.54,2.46,425,0.0,0.0,0.0,0.0,89.0,0.45,724.72,POINT (-75.49264602901856 39.68544324376243),-75.493,39.685
1.0,0.31,0.69,145,0.0,0.0,0.0,0.0,39.0,0.45,724.72,POINT (-75.48117693517052 39.68549133330429),-75.481,39.685
3.0,2.29,0.71,1547,0.0,0.0,0.0,0.0,1000.0,0.45,724.72,POINT (-75.46889091943935 39.56461038709484),-75.469,39.565
5.0,2.45,2.55,3257,0.0,0.0,0.0,0.0,267.0,0.45,724.72,POINT (-75.46991280879502 39.715769869168334),-75.47,39.716
2.0,0.39,1.61,197,0.0,0.0,0.0,0.0,78.0,0.45,724.72,POINT (-75.47011811288453 39.746001289381475),-75.47,39.746
7.0,1.72,5.28,1907,0.0,0.0,0.0,0.0,335.0,0.45,724.72,POINT (-75.45744171676894 39.56465601609904),-75.457,39.565
1.0,0.67,0.33,809,0.0,0.0,0.0,0.0,8.0,0.45,724.72,POINT (-75.4584386561677 39.71581574227143),-75.458,39.716
3.0,0.91,2.09,929,0.0,0.0,0.0,0.0,151.0,0.45,724.72,POINT (-75.45863894765344 39.7460472114305),-75.459,39.746
2.0,0.33,1.67,102,1.0,0.0,0.0,0.0,78.0,0.45,724.72,POINT (-75.44618630052899 39.59493282728787),-75.446,39.595
1.0,0.24,0.76,31,0.0,0.0,0.0,0.0,37.0,0.45,724.72,POINT (-75.44715975644255 39.746091998378155),-75.447,39.746
1.0,0.28,0.72,40,0.0,0.0,0.0,0.0,66.0,0.45,724.72,POINT (-75.43473207201798 39.594976246894866),-75.435,39.595
1.0,0.21,0.79,13,0.0,0.0,0.0,0.0,18.0,0.45,724.72,POINT (-75.41290254619028 39.77645104277641),-75.413,39.776
2.0,0.29,1.71,36,0.0,0.0,0.0,0.0,74.0,0.45,724.72,POINT (-75.37844955152107 39.77656850193524),-75.378,39.777
3.0,0.4,2.6,102,0.0,0.0,0.0,0.0,132.0,0.45,724.72,POINT (-75.3661654354207 39.62544550439186),-75.366,39.625
2.0,0.29,1.71,5,0.0,0.0,0.0,0.0,92.0,0.45,724.72,POINT (-75.36696517616714 39.776605382275164),-75.367,39.777
1.0,1.1,-0.1,1501,0.0,0.0,0.0,0.0,22.0,0.45,724.72,POINT (-75.3319317637842 39.65578117758867),-75.332,39.656
1.0,0.88,0.12,1078,0.0,0.0,0.0,0.0,43.0,0.45,724.72,POINT (-75.32046734621453 39.65581337477376),-75.32,39.656
1.0,0.27,0.73,60,0.0,0.0,0.0,0.0,43.0,0.45,724.72,POINT (-75.32060706129788 39.68604565350582),-75.321,39.686
1.0,0.94,0.06,1190,0.0,0.0,0.0,0.0,43.0,0.45,724.72,POINT (-75.3208871244028 39.746509736102944),-75.321,39.747
3.0,1.25,1.75,1535,0.0,0.0,0.0,0.0,129.0,0.45,724.72,POINT (-75.30940767214786 39.74654090130362),-75.309,39.747
2.0,0.53,1.47,412,0.0,0.0,0.0,0.0,86.0,0.45,724.72,POINT (-75.26360493954182 39.7768861681432),-75.264,39.777
2.0,2.19,-0.19,3078,0.0,0.0,0.0,0.0,141.0,0.45,724.72,POINT (-75.24084670089074 39.83739961216481),-75.241,39.837
4.0,3.2,0.8,3340,0.0,0.0,0.0,0.0,859.0,0.45,724.72,POINT (-75.22805748924313 39.44439822095716),-75.228,39.444
2.0,0.33,1.67,14,0.0,0.0,0.0,0.0,120.0,0.45,724.72,POINT (-75.22865182871689 39.62579754771762),-75.229,39.626
1.0,0.87,0.13,1091,0.0,0.0,0.0,0.0,35.0,0.45,724.72,POINT (-75.22905105201313 39.74672727228764),-75.229,39.747
1.0,0.35,0.65,2,0.0,0.0,0.0,0.0,141.0,0.45,724.72,POINT (-75.22935205433767 39.83742290535145),-75.229,39.837
3.0,1.73,1.27,1332,0.0,0.0,0.0,0.0,635.0,0.45,724.72,POINT (-75.21662770935204 39.444420070080874),-75.217,39.444
4.0,1.2,2.8,1230,0.0,0.0,0.0,0.0,240.0,0.45,724.72,POINT (-75.2168153268474 39.50488719072344),-75.217,39.505
1.0,0.3,0.7,86,0.0,0.0,0.0,0.0,60.0,0.45,724.72,POINT (-75.21728685183461 39.65605222900824),-75.217,39.656
1.0,0.62,0.38,599,0.0,0.0,0.0,0.0,68.0,0.45,724.72,POINT (-75.21747645930937 39.71651713833952),-75.217,39.717
2.0,0.77,1.23,845,0.0,0.0,0.0,0.0,68.0,0.45,724.72,POINT (-75.21757147774696 39.74674935588606),-75.218,39.747
3.0,0.95,2.05,1072,0.0,0.0,0.0,0.0,108.0,0.45,724.72,POINT (-75.21776194522309 39.807213316589646),-75.218,39.807
1.0,0.46,0.54,354,0.0,0.0,0.0,0.0,60.0,0.45,724.72,POINT (-75.20528670967349 39.47467445743714),-75.205,39.475
2.0,0.39,1.61,108,0.0,0.0,0.0,0.0,120.0,0.45,724.72,POINT (-75.20591201655577 39.68630566644565),-75.206,39.686
